dataset,method,spearman_abs,n_genes,n_dropped
pancreas,prism_full,0.7419586014704455,15.0,0.0
pancreas,log1p,0.7646138259428255,15.0,0.0
pancreas,random,0.3756991391669685,15.0,0.0
pancreas,prism_int,0.7905746802221312,13.0,2.0
pancreas,scgpt,0.8107718435854702,13.0,2.0
pancreas,scgpt_contextual,0.7299831901321139,13.0,2.0
gastrulation,prism_full,0.7977380008521376,11.0,0.0
gastrulation,log1p,0.9629500128629352,11.0,0.0
gastrulation,random,0.0141610296009255,11.0,0.0
gastrulation,prism_int,0.7319250547113999,8.0,3.0
gastrulation,scgpt,0.3415650255319866,8.0,3.0
gastrulation,scgpt_contextual,0.4879500364742666,8.0,3.0
gastrulation_erythroid,prism_full,0.9265616458263766,8.0,0.0
gastrulation_erythroid,log1p,0.5188745216627709,8.0,0.0
gastrulation_erythroid,random,0.2594372608313854,8.0,0.0
gastrulation_erythroid,prism_int,0.8944271909999159,4.0,4.0
gastrulation_erythroid,scgpt,0.8944271909999159,4.0,4.0
gastrulation_erythroid,scgpt_contextual,0.8944271909999159,4.0,4.0
hemogenic_endothelium,prism_full,0.9356014857063996,15.0,0.0
hemogenic_endothelium,log1p,0.6736330697086077,15.0,0.0
hemogenic_endothelium,random,0.4771567577102638,15.0,0.0
hemogenic_endothelium,prism_int,0.9356014857063996,15.0,0.0
hemogenic_endothelium,scgpt,0.0748481188565119,15.0,0.0
hemogenic_endothelium,scgpt_contextual,0.7241555499367534,15.0,0.0
bonemarrow,prism_full,0.9065645654268776,20.0,0.0
bonemarrow,log1p,0.089044445037695,20.0,0.0
bonemarrow,random,0.4114467460362458,20.0,0.0
bonemarrow,prism_int,0.9065645654268776,20.0,0.0
bonemarrow,scgpt,0.859739469329469,20.0,0.0
bonemarrow,scgpt_contextual,0.9004235692173813,20.0,0.0
paul15,prism_full,0.664052277510436,8.0,0.0
paul15,log1p,0.1915535415895488,8.0,0.0
paul15,random,0.0255404722119398,8.0,0.0
paul15,prism_int,0.948683298050514,4.0,4.0
paul15,scgpt,0.316227766016838,4.0,4.0
paul15,scgpt_contextual,0.316227766016838,4.0,4.0
dentategyrus,prism_full,0.5642880936468347,5.0,0.0
dentategyrus,log1p,0.3590924232298039,5.0,0.0
dentategyrus,random,0.6155870112510925,5.0,0.0
dentategyrus,prism_int,0.5642880936468347,5.0,0.0
dentategyrus,scgpt,0.9746794344808964,5.0,0.0
dentategyrus,scgpt_contextual,0.8720815992723809,5.0,0.0
endoderm_diff,prism_full,0.7559289460184546,7.0,0.0
endoderm_diff,log1p,0.6614378277661478,7.0,0.0
endoderm_diff,random,0.3401680257083046,7.0,0.0
endoderm_diff,prism_int,0.7559289460184546,7.0,0.0
endoderm_diff,scgpt,0.6425396041156864,7.0,0.0
endoderm_diff,scgpt_contextual,0.8504200642707614,7.0,0.0
gastrulation_e75,prism_full,0.0617637164676764,14.0,0.0
gastrulation_e75,log1p,0.1258149779897113,14.0,0.0
gastrulation_e75,random,0.295093312012232,14.0,0.0
gastrulation_e75,prism_int,0.0258894471062688,13.0,1.0
gastrulation_e75,scgpt,0.414231153700301,13.0,1.0
gastrulation_e75,scgpt_contextual,0.765176992251945,13.0,1.0
