dataset,method,seed,spearman_abs,n_genes,sd,p05,p50,p95,n_draws
pancreas,prism_full,0,0.7419586014704455,15,,,,,
pancreas,prism_int,0,0.7905746802221312,13,,,,,
pancreas,prism_full,1,0.9288642033675805,15,,,,,
pancreas,prism_int,1,0.931954823765505,13,,,,,
pancreas,prism_full,2,0.8269156932418705,15,,,,,
pancreas,prism_int,2,0.8107718435854702,13,,,,,
pancreas,prism_full,3,0.8439071115961555,15,,,,,
pancreas,prism_int,3,0.9521519871288442,13,,,,,
pancreas,prism_full,4,0.8608985299504405,15,,,,,
pancreas,prism_int,4,0.8511661703121486,13,,,,,
pancreas,prism_full,5,0.7929328565333006,15,,,,,
pancreas,prism_int,5,0.8915604970388268,13,,,,,
pancreas,prism_full,6,0.8608985299504405,15,,,,,
pancreas,prism_int,6,0.8511661703121486,13,,,,,
pancreas,prism_full,7,0.8948813666590104,15,,,,,
pancreas,prism_int,7,0.8915604970388268,13,,,,,
pancreas,prism_full,8,0.7929328565333006,15,,,,,
pancreas,prism_int,8,0.8915604970388268,13,,,,,
pancreas,prism_full,9,0.8948813666590104,15,,,,,
pancreas,prism_int,9,0.8915604970388268,13,,,,,
pancreas,random_full,-1,0.21729834070098195,15,0.15809431643164681,0.01699141835428501,0.18690560189713512,0.524846033610137,10000.0
pancreas,random_int,-1,0.23404068962170105,13,0.16914691978368876,0.020197163363339113,0.20197163363339118,0.5568646470177785,10000.0
gastrulation,prism_full,0,0.7977380008521376,11,,,,,
gastrulation,prism_int,0,0.7319250547113999,8,,,,,
gastrulation,prism_full,1,0.7977380008521376,11,,,,,
gastrulation,prism_int,1,0.7319250547113999,8,,,,,
gastrulation,prism_full,2,0.7458142256487439,11,,,,,
gastrulation,prism_int,2,0.7319250547113999,8,,,,,
gastrulation,prism_full,3,0.7977380008521376,11,,,,,
gastrulation,prism_int,3,0.7319250547113999,8,,,,,
gastrulation,prism_full,4,0.7458142256487439,11,,,,,
gastrulation,prism_int,4,0.7319250547113999,8,,,,,
gastrulation,prism_full,5,0.7694159416502865,11,,,,,
gastrulation,prism_int,5,0.7807200583588266,8,,,,,
gastrulation,prism_full,6,0.7977380008521376,11,,,,,
gastrulation,prism_int,6,0.7319250547113999,8,,,,,
gastrulation,prism_full,7,0.7458142256487439,11,,,,,
gastrulation,prism_int,7,0.7319250547113999,8,,,,,
gastrulation,prism_full,8,0.8685431488567652,11,,,,,
gastrulation,prism_int,8,0.8783100656536799,8,,,,,
gastrulation,prism_full,9,0.7458142256487439,11,,,,,
gastrulation,prism_int,9,0.7319250547113999,8,,,,,
gastrulation,random_full,-1,0.2597430210431359,11,0.1860482272500041,0.018881372801234024,0.22657647361480832,0.6183649592404143,10000.0
gastrulation,random_int,-1,0.30807701452875774,8,0.21825876439777328,0.0,0.29277002188455997,0.7319250547113999,10000.0
gastrulation_erythroid,prism_full,0,0.9265616458263766,8,,,,,
