dataset,method,mean,std,count,min,max
bonemarrow,prism_full,0.9026226683985004,0.0038547017255992056,10,0.8953868724369076,0.9069055714819796
bonemarrow,prism_int,0.9026226683985004,0.0038547017255992056,10,0.8953868724369076,0.9069055714819796
bonemarrow,scgpt_contextual,0.9034940673221294,0.0032365891874114637,10,0.9004235692173813,0.9065645654268776
dentategyrus,prism_full,0.5848076606885378,0.04325904563487,10,0.5642880936468347,0.6668859288553501
dentategyrus,prism_int,0.5848076606885378,0.04325904563487,10,0.5642880936468347,0.6668859288553501
dentategyrus,scgpt_contextual,0.8002631146264202,0.11896237549589249,10,0.5642880936468347,0.8720815992723809
endoderm_diff,prism_full,0.7653780578436853,0.029880715233359854,10,0.7559289460184546,0.8504200642707614
endoderm_diff,prism_int,0.7653780578436853,0.029880715233359854,10,0.7559289460184546,0.8504200642707614
endoderm_diff,scgpt_contextual,0.8504200642707614,0.0,10,0.8504200642707614,0.8504200642707614
gastrulation,prism_full,0.7812167996510577,0.03925744211910657,10,0.7458142256487439,0.8685431488567652
gastrulation,prism_int,0.7514430561703705,0.047140452079103175,10,0.7319250547113999,0.8783100656536799
gastrulation,scgpt_contextual,0.7319250547113999,0.0,10,0.7319250547113999,0.7319250547113999
gastrulation_e75,prism_full,0.3451905487026807,0.23756338644500705,10,0.0251629955979422,0.5490108130460131
gastrulation_e75,prism_int,0.3259193730155841,0.2513590829031141,10,0.0172596314041792,0.546554994465675
gastrulation_e75,scgpt_contextual,0.7542458923626315,0.02304478198736339,10,0.7105214928053776,0.765176992251945
gastrulation_erythroid,prism_full,0.9302678924096821,0.011720180773462376,10,0.9265616458263766,0.9636241116594316
gastrulation_erythroid,prism_int,0.894427190999916,0.0,10,0.8944271909999159,0.8944271909999159
gastrulation_erythroid,scgpt_contextual,0.894427190999916,0.0,10,0.8944271909999159,0.8944271909999159
hemogenic_endothelium,prism_full,0.927929553523607,0.012977571689140429,10,0.901919832220969,0.9356014857063996
hemogenic_endothelium,prism_int,0.927929553523607,0.012977571689140429,10,0.901919832220969,0.9356014857063996
hemogenic_endothelium,scgpt_contextual,0.9543135154205276,0.0,10,0.9543135154205276,0.9543135154205276
pancreas,prism_full,0.8439071115961555,0.05663806118094996,10,0.7419586014704455,0.9288642033675804
pancreas,prism_int,0.8754027663481555,0.05020032390405983,10,0.7905746802221312,0.9521519871288442
pancreas,scgpt_contextual,0.7097860267687747,0.0,10,0.7097860267687747,0.7097860267687747
paul15,prism_full,0.6844846552799879,0.043075234509849965,10,0.664052277510436,0.7662141663581955
paul15,prism_int,0.948683298050514,0.0,10,0.948683298050514,0.948683298050514
paul15,scgpt_contextual,0.316227766016838,0.0,10,0.316227766016838,0.316227766016838
