gene,canonical_rank,PRISM_K5_StepII,PRISM_K10_StepII,Expression_magnitude,DPT_weighted_mean,GeneTrajectory,GeneTrajectory_EV
CD34,0,0.2829698293774035,-0.2708955342093295,0.1140138408304498,0.1811338698017072,,-0.0009414067968021799
HLF,0,0.3568408339878258,-0.2927572290880478,0.0356401384083044,0.0621992817509975,,-0.0011051307126679125
AVP,0,0.3682902839521144,-0.2818677173660681,0.6259515570934256,0.0538734060725312,,-0.0011362156983829382
MEIS1,0,0.2796794433372012,-0.2758795211851031,0.0832179930795847,0.1791985892417785,,-0.001031920138814909
MLLT3,0,0.1863895088939138,-0.1897043321832749,0.3309688581314879,0.2968365609218767,,-0.0010907898010388936
GATA2,1,0.1827548537862297,-0.2237762054224704,0.5399653979238754,0.3038475801859226,,-0.001079005050247507
KIT,1,0.1585202502619258,-0.1688409249933689,0.2131487889273356,0.3436560493598624,313.0,-0.0009712486196774872
TAL1,1,0.0652177886395621,-0.1201960890541137,0.2079584775086505,0.46615043283673,,-0.0012330046558803398
GATA1,2,-0.0657280448263228,0.0280746473199705,0.0835640138408304,0.6123984767537978,10.0,-0.0026154748984116385
KLF1,2,-0.0920242192996083,0.0405031948035669,0.7340830449826989,0.6334933295311234,8.0,-0.00215568692574158
NFE2,2,0.1530248346445964,-0.175065355539131,0.6307958477508651,0.358264969204548,,-0.0010194142460023218
TFRC,2,0.0212536396105136,-0.0051038333839019,0.0591695501730103,0.5552741266030551,3.0,-0.0014407570814783457
GYPA,3,-0.3102434827972836,0.3060616357476095,0.0055363321799307,0.8857146967202425,26.0,-0.004831406827456703
ALAS2,3,-0.3102434827972835,0.3286857462579923,0.0067474048442906,0.8932648805471567,25.0,-0.004797444878588385
EPOR,3,-0.0395568152130739,0.014962504951906,0.1472318339100346,0.6128326168085914,9.0,-0.0024409431940051922
BLVRB,3,-0.0751826109853112,0.0466610358660129,1.545674740484429,0.6652996556573615,1.0,-0.0011692313777493812
HBB,4,-0.2605887201785274,0.2957452057613878,7.761418685121107,0.8636439951790431,12.0,-0.0028140917415371406
HBA1,4,-0.2523001345723578,0.2836820729412092,0.0899653979238754,0.8574915462452556,24.0,-0.005636236503804412
HBA2,4,-0.2370079899915799,0.3097667179168817,0.0100346020761245,0.8832218362051144,27.0,-0.0055657633506229235
AHSP,4,-0.2389585216655394,0.2349979825951571,0.8429065743944637,0.8181606385423121,23.0,-0.004584610018447701
