gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
ABCA1,-0.0005684742041412883,0.0007919343221199972,-0.00037093508478990066,0.00036267577509243334,-0.0003101943466765389,Trajectory-3,0.0,0.0,181.0
AC004791.2,-0.0006623031328726642,0.0007963274260580532,-0.00114058176637302,0.001261751649151636,-0.0002853869612127233,Trajectory-3,0.0,0.0,194.0
AC007381.3,0.0009489242166721164,0.0007622047809996425,0.004741191009814136,0.0020959839048894464,0.00019321982260077876,Trajectory-3,0.0,0.0,114.0
AC022182.1,-0.00025869606418951237,0.00042304476979533915,0.008003466463606607,-0.0024842111663480396,0.0008653975377197901,Trajectory-3,0.0,0.0,32.0
AC024560.2,-0.00025857684574658165,0.0003807070027733701,0.008338743453530924,-0.002674868123254563,0.0009106747995798065,Trajectory-3,0.0,0.0,14.0
ACY3,-0.00017481670123763808,0.0010041395394479547,-0.0006657745343324183,0.0026135859841926053,0.0001450531464326703,Trajectory-3,0.0,0.0,213.0
ADAD2,-0.00028754991871619276,0.00039923879989235944,0.007909756221627238,-0.0024032127138692177,0.0008279841064572012,Trajectory-3,0.0,0.0,40.0
ADARB2,-0.0007925525470028545,0.0008543665415653523,-0.0013749168971503335,-0.0019159767489088817,0.0022686075353987125,Other,0.0,0.0,0.0
ADGRF1,-0.0004470774051474446,0.000695303929777141,0.0033963585821374224,-0.0010088720760059546,0.0006727917075931146,Trajectory-3,0.0,0.0,107.0
ADGRG6,-0.0010926396055887617,0.0011571484005113188,-0.006852400859688202,-0.003958891845389512,0.007363440649380533,Other,0.0,0.0,0.0
AEBP1,-0.0006648246750062789,0.0008146638403846716,-0.00279489848429482,0.0009972806879917841,-0.0013512533274879035,Trajectory-3,0.0,0.0,241.0
AFAP1L2,-0.0006978017842020906,0.0008425150078619876,-0.0016738337346957146,-0.0004003520844780126,0.0005266299360954214,Trajectory-3,0.0,0.0,186.0
AHDC1,-0.0006257552316686633,0.0008908269677300418,-0.0031349763370322604,0.0013632248248782492,-0.0011085574590342724,Trajectory-3,0.0,0.0,266.0
AHSP,-0.004584610018447701,-0.06540677241755748,-0.001180741759536045,0.0026356032248410106,0.006343125310772008,Trajectory-1,23.0,0.0,0.0
AIRE,-0.0003828454888576102,0.0004112729209059028,0.00632253454814482,-0.0020499631946097998,0.00047833641576691986,Trajectory-3,0.0,0.0,64.0
AJ006998.2,-0.001132313048905989,0.0011726138617316802,-0.0071705382545144735,-0.004657093072486804,0.008570209716545792,Other,0.0,0.0,0.0
AKAP12,-0.0003149767771515739,0.000342970042344883,0.008144578316311945,-0.0025994463608924948,0.0007554311396661812,Trajectory-3,0.0,0.0,24.0
ALAS2,-0.004797444878588385,-0.07134253308698589,-0.0010381159065267374,0.00643730639092008,0.037549451742119065,Trajectory-1,25.0,0.0,0.0
ALOX5,0.0005897417794763066,0.0006738667188460445,0.005836521385480575,0.0005629956580024462,0.0003350022641061095,Trajectory-3,0.0,0.0,89.0
ALOX5AP,0.00935570452768466,0.0005419286858320725,0.0026319301854093925,0.012072581641042452,-0.0013156519975397016,Trajectory-2,0.0,5.0,0.0
AMOTL2,-0.0007484981067651654,0.0010480777130129203,-0.0031627029182142246,-0.00030810183750968424,0.00212778576155249,Trajectory-3,0.0,0.0,207.0
ANGPT1,-0.001099086366154473,0.0011054083737714474,-0.006875382171415442,-0.003719039160829732,0.006443295338656045,Other,0.0,0.0,0.0
AP001058.3,0.006978479749343482,0.0003919051086860925,0.0048163032244318785,0.003915625948851409,-7.745902263238703e-05,Trajectory-2,0.0,18.0,0.0
APOC1,-0.0038991068852723128,-0.0515922446582409,-0.0009915315049988296,-0.0006656194673269096,-0.01327950490757732,Trajectory-1,17.0,0.0,0.0
APOE,-0.004525848176190918,-0.06362923962830969,-0.0011616582222430337,0.0013975451557137974,-0.0029385299489458503,Trajectory-1,20.0,0.0,0.0
AQP5,-0.0003131509377659496,0.0003728238839294857,0.007734506522818104,-0.0023012185676245384,0.0006963791438977349,Trajectory-3,0.0,0.0,45.0
AREG,-0.0005608231547723669,0.0010863019929167252,-0.0031606769025318785,0.002815566485166394,0.0003476197972155577,Trajectory-3,0.0,0.0,291.0
ARHGAP20,-0.0009758502624228704,0.00095076412680799,-0.003881374844006314,-0.003513971975633855,0.005498624541600388,Other,0.0,0.0,0.0
ARHGAP44,-0.000989785818696719,0.0009617900532343836,-0.004403605648475458,-0.003202757100066374,0.004659049718788532,Other,0.0,0.0,0.0
ARID5B,-0.0008749813599276451,0.001003805583925794,-0.004513918110559179,-0.0010810231170898272,0.0020307540208971673,Other,0.0,0.0,0.0
ARL4C,0.002058660704623665,0.0010553446808785093,0.00017713686504763296,0.00793563831766469,-0.0006440927342053384,Trajectory-3,0.0,0.0,261.0
ARL5A,-0.0007974162238737594,0.0009613586987086682,-0.0019410511983766695,-0.0017092639613526138,0.002638266812559624,Other,0.0,0.0,0.0
ARPP21,-0.0002911844280686417,0.00035380462353691274,0.00817569821124651,-0.0025382507433816953,0.0007336189648525319,Trajectory-3,0.0,0.0,27.0
ASB14,-1.2571249221406523e-05,0.0007228554961741389,0.005083551873913944,0.00013484118654332546,0.0007475621825737336,Trajectory-3,0.0,0.0,96.0
ASPHD2,0.0007839683103114129,0.0009854474343256412,0.0007978885793387546,0.005792839942968137,-0.0005319116223215292,Trajectory-3,0.0,0.0,219.0
AUTS2,-0.0006458078072285414,0.000802383087722811,-0.0033596079858446534,0.0016056843349000398,-0.0019222208515213858,Trajectory-3,0.0,0.0,284.0
AVP,-0.0011362156983829382,0.0011901661256028726,-0.007325221822576035,-0.004630424669545012,0.0086343382005978,Other,0.0,0.0,0.0
AZU1,0.000599643384875604,0.0013906782757398268,0.004163916217587824,0.03481412382222125,0.007665733781318329,Trajectory-3,0.0,0.0,319.0
BACH2,-0.000537465734595225,0.0005202748757313752,0.0010841482455905065,-7.766243948374993e-05,-0.0012118604301144904,Trajectory-3,0.0,0.0,151.0
BANK1,-0.0007485115290375435,0.0005846744708926238,-0.0036708374876535913,0.0006586402019282873,-0.0029111669153409703,Trajectory-3,0.0,0.0,272.0
BEST3,-0.0006165183940260439,0.0007959151093156524,0.0014914359514491672,-0.0017689094548574108,0.001718109603530313,Trajectory-3,0.0,0.0,111.0
BEX1,-0.0009445182054892431,0.001109293364418465,-0.005548733232899096,-0.0013142053932804912,0.003238424893053236,Trajectory-3,0.0,0.0,249.0
BLACE,-0.00034649323913864857,0.000294498509239792,0.008152464882902692,-0.002707029434321134,0.0007845490242424176,Trajectory-3,0.0,0.0,20.0
BLK,-0.0002683115311035334,0.0004535199605914013,0.007152531546292078,-0.001988089511188655,0.0006454806415974839,Trajectory-3,0.0,0.0,55.0
BLNK,0.0011892230453986123,0.0008834215310950555,0.003028184467412512,0.004434677345765829,-0.0001244396414634559,Trajectory-3,0.0,0.0,156.0
BLVRB,-0.0011692313777493812,-0.0041894270291791165,-0.002860360461027454,-0.00104058686598834,-0.00951825192750286,Trajectory-1,1.0,0.0,0.0
BRSK2,-0.0010842544959888685,0.001111118104669208,-0.0059567121829894815,-0.004375302933264341,0.0077045289516032844,Other,0.0,0.0,0.0
C1QC,-0.00046233332464756214,0.0004995368695787098,0.005409572415795651,-0.002112400373795567,0.0008499773705729619,Trajectory-3,0.0,0.0,75.0
CA1,-0.0045118767510805985,-0.06375190886058454,-0.0011571630189815064,0.0019484896771638945,0.0013818565938406508,Trajectory-1,22.0,0.0,0.0
CA13,-0.0003284671460941454,0.0009869853709435147,-0.0025885371486390053,0.0019308115629498544,-0.0004021076963028266,Trajectory-3,0.0,0.0,253.0
CABP4,-0.0008666854732264876,0.0010733905613289098,-0.00417312225995693,-0.0015897291934474345,0.003239446566267882,Other,0.0,0.0,0.0
CACNG8,-0.0008635921757257081,0.0009633517574697116,-0.0029992914161808943,-0.001852911907907063,0.002975611995846134,Other,0.0,0.0,0.0
CAMK1D,-0.0009585687723812049,0.0007239756009855885,-0.005313899710279189,-0.00102924888150404,-0.00036437402435954513,Other,0.0,0.0,0.0
CAV1,-0.00020284903832185273,0.0006496671297293489,0.0034821182524094577,0.0005978583408326153,-0.0004012796280754771,Trajectory-3,0.0,0.0,125.0
CCDC186,-0.0007859121046556378,0.000343056776349509,-0.004546570927036001,0.0008617524391115663,-0.004779779687262546,Other,0.0,0.0,0.0
CCDC42,-0.0011145021811003225,0.0010284641959838684,-0.006555283425820615,-0.004157181806587771,0.006633104573812056,Other,0.0,0.0,0.0
CCDC50,0.001579561488280255,0.0007101289085959362,-0.0007125711401804939,0.00613292054685833,-0.002871561331734684,Trajectory-3,0.0,0.0,251.0
CCDC81,-0.00029301939896295934,0.000636852846732022,0.004641150045141722,-0.0003564383141453328,0.00027647539687313346,Trajectory-3,0.0,0.0,101.0
CCL3,0.0006383708751906867,0.0011417096215547151,0.001474634445644436,0.012113982355627302,0.001481745619713469,Trajectory-3,0.0,0.0,232.0
CCL3L3,-0.00010159739280798895,0.0010983560181260952,-0.000737213162892158,0.00738030474183481,0.0005746117371613413,Trajectory-3,0.0,0.0,259.0
CCL4,0.0008501118735619939,0.0010185878516626328,-0.00010873903848305981,0.00444057415280775,-7.618681631115517e-05,Trajectory-3,0.0,0.0,221.0
CCR7,0.0012920037583391446,0.0008297440663591233,0.0032028853379788566,0.0035878267368701033,-2.2239197350129045e-05,Trajectory-3,0.0,0.0,147.0
CD19,-0.0003280629737198216,0.0006660965531678682,0.004058109036184028,-0.0004743499251592595,0.0003543140631421044,Trajectory-3,0.0,0.0,106.0
CD22,-0.0003350501319794968,0.0006642105797687268,0.003652591369138261,-0.00037698219310381635,0.00023984809544157844,Trajectory-3,0.0,0.0,115.0
CD24,-0.0003166006671118287,0.0003678837615390168,0.0078115494189690965,-0.002421949991618458,0.0007445826491901655,Trajectory-3,0.0,0.0,42.0
CD27,-0.00027488923903001714,0.00038520338876243504,0.008180606205079382,-0.002582541507118484,0.0008406377905250361,Trajectory-3,0.0,0.0,21.0
CD34,-0.0009414067968021799,0.0010018272115022806,-0.005427278070947888,-0.0012193238794238324,0.0020083349354503696,Other,0.0,0.0,0.0
CD69,-0.0008718294283528849,0.0009961372836082333,-0.004632906476122784,-0.0007519389246499136,0.0015689167105575536,Other,0.0,0.0,0.0
CD72,-0.00012573453350291162,0.0007272144020193032,0.0031196417919379183,0.0007826073133970187,-0.00012616349615868447,Trajectory-3,0.0,0.0,129.0
CD79A,-0.00032165231633484614,0.0005625227656299894,0.004772795213952951,-0.000912130082909419,0.00029131802140439794,Trajectory-3,0.0,0.0,93.0
CD79B,-0.0005522940933940531,0.0007913495065409307,-0.00032441648369333154,0.0004938170811214636,-0.0004344681135316631,Trajectory-3,0.0,0.0,182.0
