dataset,provenance,n_cells,PCA_1,DPT,PAGA_DPT,Slingshot
pancreas,shipped,3696,0.911981690642916,0.9327352187785275,0.9327352187785275,0.9398749707537803
gastrulation,shipped,8000,0.20067692810049154,0.6071973531979388,0.6071973531979388,0.6436771983493862
gastrulation_erythroid,shipped,9815,0.8152721471072505,0.8489003233832423,0.8489003233832423,0.7932574632964198
dentategyrus,published,2342,0.4898711320774961,0.7150000226369112,0.7150000226369112,0.8398465225652855
ventral_neuron_diff,published,1733,0.1415922868339956,0.27271884567862065,0.27271884567862065,0.16617987359259326
endoderm_diff,published,1012,0.7464677492055751,0.7074933402170263,0.7074933402170263,0.7369224748720142
gastrulation_e75,inferred,1935,0.8794331903450412,0.9101984890016857,0.9101984890016857,0.8980043567661264
bonemarrow,inferred,2125,0.8926316795543559,0.8373522703638707,0.8373522703638707,0.8906685348478275
paul15,inferred,1262,0.699342173255344,0.774657054267065,0.774657054267065,0.519398125324665
mouse_hspc,inferred,1919,0.5241711318852055,0.6963505507752126,0.6963505507752126,0.6042662217231523
hemogenic_endothelium,inferred,2406,0.21662232099949755,0.20628871225349787,0.20628871225349787,0.12745741549546977
pbmc3k,arbitrary,2638,0.8395467565129,0.514060557309575,0.514060557309575,0.5488436940418678
pbmc68k,arbitrary,8000,0.24446743784779615,0.38938261926524925,0.38938261926524925,0.014573440727905737
zeisel_brain,arbitrary,3005,0.8664335377897253,0.46730864700132985,0.46730864700132985,0.47020394533904103
