gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
2310069G16Rik,0.0037971195579302717,-0.0029049997658591366,0.004263398563753947,-0.003342018824722171,0.0006141939473534913,Other,0.0,0.0,0.0
2810006K23Rik,0.003142734817893382,-0.002402599398279169,0.0024037475488248097,0.0030745303324389525,-0.001736580712146511,Trajectory-2,0.0,9.0,0.0
2810417H13Rik,-0.0002585456610912655,0.0011624802401623072,-0.006239640766884441,0.0007517068981811263,0.0020301400346435998,Trajectory-1,72.0,0.0,0.0
2810459M11Rik,-0.02594766004608233,-0.0065472761453475425,0.001807183377787282,0.0011918113428343183,0.0030230690291429855,Trajectory-3,0.0,0.0,14.0
3110079O15Rik,-0.0062587321626936185,-0.0027104406128027397,-0.00023276256918593167,0.0009186032444888049,0.0016582198136405517,Trajectory-3,0.0,0.0,11.0
4833420G17Rik,0.0035115226870970125,-0.0027062002806913744,0.003231365121759171,0.002207897072038743,-0.0016743182908388336,Trajectory-2,0.0,3.0,0.0
4930524J08Rik,0.003705372185403899,-0.0028150032701104314,0.0037742794000009683,-0.0007936835297228654,-0.0004263754740088689,Other,0.0,0.0,0.0
5033430I15Rik,0.0041145844699158225,-0.003101102628384427,0.005077205312698862,-0.005542201001861901,0.0012611313876347877,Other,0.0,0.0,0.0
6330408A02Rik,0.0036464807136417266,-0.0028134041924617256,0.0038441456688569236,-0.0016941222006124504,2.0186433531963075e-05,Other,0.0,0.0,0.0
6330416G13Rik,0.0011034849104447572,0.00044009643332951795,-0.0018058009297677927,-0.00063047597898561,0.0012005613764803915,Trajectory-1,96.0,0.0,0.0
A130010J15Rik,0.0029054918757917907,-0.0022594104905221133,0.0019431680714624686,0.003392687130278524,-0.0016866698067457982,Trajectory-2,0.0,15.0,0.0
A830080D01Rik,0.0031269779957286397,-0.002375617305480802,0.0023271481925842157,0.002664983440237188,-0.0015197503361805192,Trajectory-2,0.0,10.0,0.0
A930009A15Rik,-0.002221276051832,0.002767547601211711,-0.01087381633645364,-6.585959780356894e-05,0.0035461217756022887,Trajectory-1,73.0,0.0,0.0
AB041806,0.003578131794118277,-0.0026066164961349382,0.003484961170215826,-0.002858362244052654,0.000620988066967142,Other,0.0,0.0,0.0
AI464131,-0.05153879133783108,-0.015166545452980029,0.018732440761442426,-0.004238996629803771,-0.011294869774946346,Trajectory-3,0.0,0.0,47.0
Acta2,-0.0013020824579305815,0.003671244321478529,-0.010089692394120206,-0.00037188061159577977,0.003171481852593527,Trajectory-1,85.0,0.0,0.0
Actn2,0.004006291872626196,-0.003009263477045569,0.004708615308464124,-0.004566717731516443,0.0009615729060252205,Other,0.0,0.0,0.0
Adam19,0.002191774116157026,-0.0016020721934423528,-0.0009662813406812741,0.021714889692545043,-0.010559062183396835,Trajectory-2,0.0,46.0,0.0
Aif1,-0.005172099974897605,0.03694816579563011,0.013011139374717953,-9.879252779787329e-05,-0.0015209993305405687,Other,0.0,0.0,0.0
Akap10,0.0036516657098884745,-0.002683684423258231,0.003790646611871261,-0.003490512101024721,0.00082870528956111,Other,0.0,0.0,0.0
Aldoc,-0.03557480682260954,-0.009665686766234643,0.0069429566226588794,-8.266016481039592e-05,0.00047140057263853215,Trajectory-3,0.0,0.0,29.0
Alg1,0.00356094721392281,-0.0026622555968242676,0.003627805517380274,-0.002689388234629214,0.000551263383530009,Other,0.0,0.0,0.0
Alox5ap,-0.0008015540673437313,0.009268404258892271,-0.0007161143346161619,-0.0008705645337824958,0.0010502563933785806,Trajectory-1,101.0,0.0,0.0
Amer1,0.0024617225244404225,-0.0019167685511803847,0.00045911572318772716,0.011334981595279492,-0.005343426450819802,Trajectory-2,0.0,40.0,0.0
Ankrd10,0.0036114069534293565,-0.0027876727295650925,0.003617253935904422,9.872712358432491e-05,-0.000759024411144445,Other,0.0,0.0,0.0
Ankrd26,0.0035534319086310013,-0.002717332569991961,0.0034994525273027446,-0.0005202130081346867,-0.00041195904811331183,Other,0.0,0.0,0.0
Antxr1,-0.007828706213356811,-0.00039386618351343756,-0.005681422724231946,1.7784010944705233e-05,0.0033388379063972614,Trajectory-1,100.0,0.0,0.0
Apeh,0.002846857040232055,-0.0020707220794551873,0.001592407028473274,0.0033158183468239063,-0.0015623544128492482,Trajectory-2,0.0,17.0,0.0
Api5,0.0036129012732706617,-0.002795351965873934,0.0037633391781784877,-0.0013470687554633439,-0.0001052796222998554,Other,0.0,0.0,0.0
Apod,-0.0022896120913599126,0.004213737387482192,-0.01729607207526308,-0.009680706700593091,-0.014005419599172253,Trajectory-1,137.0,0.0,0.0
Apoe,-0.023869179110103812,-0.005382928444004217,-0.0005604072817756653,0.00117140948400102,0.004385079181784936,Trajectory-3,0.0,0.0,7.0
Appl2,-0.005769791632878423,-0.00270196104240602,8.723402135104104e-05,-5.56338588401751e-05,0.0019722264656180785,Trajectory-3,0.0,0.0,8.0
Aqp4,-0.0509650215834347,-0.014969137579824595,0.018281217059835857,-0.0040448689815952895,-0.010775998274744888,Trajectory-3,0.0,0.0,45.0
Arfgap2,0.0036889961801793813,-0.002804722283412228,0.0039758628159657725,-0.0026264888442700594,0.0003955192769259825,Other,0.0,0.0,0.0
Arhgap23,0.003342455592214974,-0.0025024917514461734,0.003081768674229431,-0.001750147804955629,0.0002931677924198281,Other,0.0,0.0,0.0
Arhgap24,0.0034534468322301847,-0.0025213295498033757,0.0033597693641574384,-0.0029645822577848034,0.0007741684887978595,Other,0.0,0.0,0.0
Arhgap29,0.0007929635686011577,0.0005483510751690695,-0.0043006333394741475,9.183738860609043e-05,0.0023816058092550442,Trajectory-1,55.0,0.0,0.0
Armc5,0.0024545659215522014,-0.001803288470055941,0.0012770561080825656,0.0005023063886676137,-3.3588660899078775e-05,Other,0.0,0.0,0.0
Arrdc3,0.003191831748946128,-0.002437011197018291,0.0025157683135371488,0.002371484604658614,-0.0014571870521020505,Other,0.0,0.0,0.0
Atf3,-0.0028917064529239804,0.014133113906030973,-0.005430900495309276,-0.00024001652652005958,0.0032923820876908723,Trajectory-1,24.0,0.0,0.0
Atg4a,0.002676096707799784,-0.0018719856277157544,0.0014638353601063958,-0.0009911909322481201,0.000517694713832988,Other,0.0,0.0,0.0
Atp13a4,-0.051043208449466734,-0.014975165904038426,0.018261167042799464,-0.004078864355627103,-0.010762296100968618,Trajectory-3,0.0,0.0,44.0
Atp1a2,-0.03444491592417515,-0.009185349257253757,0.005969853831266571,8.481874564115033e-05,0.0010525307217039137,Trajectory-3,0.0,0.0,27.0
B830012L14Rik,0.003714962270978908,-0.002753313911692752,0.0038778675547160024,-0.003050607225244762,0.0006068431584707523,Other,0.0,0.0,0.0
BC003965,0.0038484504963322438,-0.0029452663342918253,0.004327574232945884,-0.002851286238621781,0.00035173761809912003,Other,0.0,0.0,0.0
BC017643,0.002639406593552057,-0.002020833592223101,0.0010605293011155502,0.007983960912277054,-0.0037547413783164288,Trajectory-2,0.0,33.0,0.0
Bach2,0.0017303855638193038,-0.0011880533131083044,-0.0032458328974468284,0.042955476082258526,-0.02150004887612217,Trajectory-2,0.0,55.0,0.0
Bag2,0.003373349016909985,-0.0026152896948268196,0.0029494327694497427,0.0024747066588831084,-0.0016664517520194524,Trajectory-2,0.0,1.0,0.0
Bcan,-0.041513284153475,-0.011641934504012482,0.010882744027857109,-0.0013513932918332553,-0.0030618230625110193,Trajectory-3,0.0,0.0,36.0
Bcar3,-0.03680142177790485,-0.009962198428870672,0.007548661502771008,-0.00048613876399099633,-0.0003947961652465524,Trajectory-3,0.0,0.0,32.0
Bcl7b,0.003786832290233976,-0.002903586648712792,0.004171925384594931,-0.002348647751948885,0.0001855967290692976,Other,0.0,0.0,0.0
Birc5,0.002201838227747371,-0.0013112715733238085,0.00010891992851895444,-0.0009230324408712364,0.0008339550584077273,Other,0.0,0.0,0.0
Bmp4,-0.0018716477428987813,0.0029453853543091133,-0.010990103100113795,-0.00019687071459586428,0.003342211065918771,Trajectory-1,82.0,0.0,0.0
Bricd5,-0.014658770840928958,-0.0017762719750758387,-0.0058865895500894595,0.0007972294199663483,0.0047257411006954445,Trajectory-1,71.0,0.0,0.0
Bsg,0.0035622718540053943,-0.002733421929398133,0.00360782480516545,-0.0010912845295466991,-0.00016870180120495432,Other,0.0,0.0,0.0
Bud31,0.003316470020948597,-0.0025815830210638166,0.002807046296563854,0.0030368954623731753,-0.0018884764792953324,Trajectory-2,0.0,6.0,0.0
Bzrap1,0.004061000508320977,-0.0030929924728890063,0.004872367863090259,-0.004268159539911084,0.0007705247676739506,Other,0.0,0.0,0.0
C1qa,-0.005359042457298802,0.03859520204906169,0.01425219395295226,-0.00014081887141377563,-0.0018742648350472538,Other,0.0,0.0,0.0
C1qb,-0.005717910528927125,0.04158441986097994,0.016373894351548134,-0.00018304545871794263,-0.0024595513781138236,Other,0.0,0.0,0.0
C1qc,-0.005710409664556753,0.04151135358680801,0.01630020777074914,-0.00017127568383476616,-0.002439120060652143,Other,0.0,0.0,0.0
C1ql1,-0.0020964412678302273,0.0023361970311310417,-0.009682945113478511,-3.257295051214373e-05,0.0029592777628476754,Trajectory-1,90.0,0.0,0.0
Calb2,0.0014293164966787,-0.0007157043754149961,-0.004394353715405587,0.047373708960596984,-0.02371321521374284,Trajectory-2,0.0,59.0,0.0
Caprin2,0.0035318683556727847,-0.0026721486529621102,0.0032397291011884823,0.0009307778560903719,-0.0010758997039656162,Other,0.0,0.0,0.0
Car2,-0.014744239259814534,-0.00211841677856317,-0.005205962379828898,0.0008229732143413787,0.00456079133499744,Trajectory-1,107.0,0.0,0.0
Car4,0.0036879078080606503,-0.00266625815008317,0.003832897863611809,-0.004084425754426609,0.0011163550785399585,Other,0.0,0.0,0.0
Cartpt,0.0011586911759415195,9.822600608611866e-05,-0.0034345808330655783,-0.0009304388077380579,0.001990144541560829,Trajectory-1,62.0,0.0,0.0
Casp2,0.002914656638929342,-0.0021932439889474887,0.0015032249127125657,0.007547012983698254,-0.003760650685107808,Trajectory-2,0.0,34.0,0.0
Ccdc130,0.003910325838795117,-0.002965516720452712,0.004472942511042385,-0.0034820742586001113,0.0005739331573764875,Other,0.0,0.0,0.0
Ccl12,-0.0051254188916818166,0.03580697722066949,0.01166594771894204,-0.0001151277076423056,-0.0010612173819845852,Other,0.0,0.0,0.0
Ccl2,-0.0048583506440484205,0.033156787491954026,0.009494369619891753,-0.00010033655614864815,-0.00043430662437505516,Other,0.0,0.0,0.0
Ccl24,-0.002567312157010996,0.008764171809647224,-0.010743952472142469,-0.00035173151064926537,0.00432960859738268,Trajectory-1,27.0,0.0,0.0
Ccl3,-0.005499877116027991,0.03987699619625462,0.015237792021022543,-6.60451618068665e-05,-0.0022157664049512974,Other,0.0,0.0,0.0
Ccl4,-0.00479916572246758,0.03389161891592263,0.010885818549591957,-0.00011948582127326,-0.0009517982397211671,Other,0.0,0.0,0.0
Ccrl2,-0.0051716743767682635,0.036062894543906744,0.01181522341413936,-6.167309488925724e-05,-0.0009675052167156063,Other,0.0,0.0,0.0
Cd14,-0.005202840775109222,0.0364913153307561,0.0123475307463286,-0.0001092788557746844,-0.001256694277891837,Other,0.0,0.0,0.0
Cd209f,-0.00234255247528014,0.006467067758217935,-0.012320986724615943,-0.0003122293061014056,0.004620451654279653,Trajectory-1,28.0,0.0,0.0
Cd37,-0.0057245842867333745,0.04172487764119237,0.016517284996472644,-0.00017517644318069164,-0.002516127096225704,Other,0.0,0.0,0.0
Cd81,0.0021618692459727164,-0.0017772209201205428,0.0008623593413013837,0.0018476884080514083,-0.0004339383849696491,Other,0.0,0.0,0.0
Cd9,-0.0021461541017295587,-4.606202586150439e-05,-0.0037746628967198436,0.0037770547876185947,3.00343571782475e-05,Trajectory-1,110.0,0.0,0.0
Cdc42se1,0.001960299755403947,-0.0015302000970119575,0.00039026311705765964,0.0002886590009418748,0.0004503455786760019,Other,0.0,0.0,0.0
Cdc7,0.0038373684302448674,-0.0029253529228039955,0.004226661594759018,-0.0023832309923641814,0.0001648813841858106,Other,0.0,0.0,0.0
Cdca5,0.0003448283689489332,0.00044278780046698267,-0.00445661082190093,0.009486068467889708,-0.0034192036075168563,Trajectory-1,118.0,0.0,0.0
Cdk18,0.0038914518319614895,-0.0028827965809954136,0.004409311705439525,-0.004481948751998263,0.001039258352763665,Other,0.0,0.0,0.0
Cdr1,0.0034525758085188854,-0.00256921772161165,0.003277248710318602,-0.001196707410733123,-3.744892145250896e-05,Other,0.0,0.0,0.0
Cep95,0.003583013173767354,-0.0027224527593680157,0.0036452460192488096,-0.001760906107244811,0.00011882484845228986,Other,0.0,0.0,0.0
Chst10,0.0030343060471652206,-0.0024094643107347886,0.0022767746017226427,0.003388582949876569,-0.0018199625852372745,Trajectory-2,0.0,12.0,0.0
Cldn10,-0.051594106531349715,-0.015189580276368648,0.01876951266857033,-0.0042291531885706125,-0.011281257503510254,Trajectory-3,0.0,0.0,46.0
Cldn11,-0.002447728017110352,0.004414828004197118,-0.022791774712386317,-0.021259741220909522,-0.03667017650263851,Trajectory-1,141.0,0.0,0.0
Cldn5,-0.001536268426692081,0.0034175773183520767,-0.013663010066824573,0.0019307957509204481,0.01004056307804075,Other,0.0,0.0,0.0
Clec3b,-0.0011459571806477326,0.0023675739769604964,-0.008110590653514901,0.0003435702240309712,0.002141295459484339,Trajectory-1,104.0,0.0,0.0
Clu,-0.02194753754105565,-0.005748016781874677,0.0012834869160529858,0.0008475070409911886,0.0033009206987192037,Trajectory-3,0.0,0.0,9.0
Cmtm8,-0.0013151007442833561,0.003976039522352909,-0.009988193646821259,0.0007665777910891374,0.005333850739627528,Trajectory-1,35.0,0.0,0.0
Cnksr2,0.004284558626131816,-0.0032235503576210135,0.00553849379271657,-0.006717309248452293,0.0015888909746942642,Other,0.0,0.0,0.0
Cnr1,0.0015302616295939705,-0.00112193762293198,-0.0032687767719297555,0.03879738751420673,-0.01907631862456979,Trajectory-2,0.0,52.0,0.0
Cntfr,0.00027467442800045884,-0.0017931522182211394,0.00014530575828365923,-0.0002267853681507304,0.0011421541978904508,Other,0.0,0.0,0.0
Col11a2,-0.033512997581383666,-0.008929716031393583,0.0055708434243207025,0.00021149384345256307,0.0011997706262988517,Trajectory-3,0.0,0.0,26.0
Col1a1,-0.0018144213589594222,0.004222857050956573,-0.011846386183243912,-2.6408534614275072e-05,0.004517523524437733,Trajectory-1,45.0,0.0,0.0
Col1a2,-0.0021999881749431628,0.004797714719109642,-0.012778115836273057,-0.00012556480740723576,0.0047445816496881925,Trajectory-1,33.0,0.0,0.0
Col3a1,-0.0020423445112832065,0.004403015080988907,-0.011925701471543673,-0.0003531034202117504,0.0038664556842261384,Trajectory-1,69.0,0.0,0.0
Coq3,0.0031927095172424756,-0.0024000129564960174,0.0023640244688578433,0.0030596045579662935,-0.0017533567314353756,Trajectory-2,0.0,14.0,0.0
Coq9,0.0038017999760351414,-0.0029160077530240606,0.004276734799950415,-0.003107162140212995,0.0005002280876955701,Other,0.0,0.0,0.0
Cpsf1,0.003753025029412809,-0.0028504904959478846,0.004111357947629314,-0.0029527334997942684,0.000488290201090772,Other,0.0,0.0,0.0
Crhr2,0.0036450793669429177,-0.0025537855379723032,0.00374230400706695,-0.0045798410784277975,0.0012571886393846431,Other,0.0,0.0,0.0
Crip1,-0.0030109726500662775,0.0030277320579734476,-0.010183822145656916,0.000854435574621897,0.004276779122193978,Trajectory-1,52.0,0.0,0.0
Cryab,-0.0064132314896738615,0.0013800278835954408,-0.009815122443760389,-0.0011478560777643968,0.0016826291974041763,Trajectory-1,123.0,0.0,0.0
Crybb1,-0.00594441954895963,0.04363696460941951,0.017970953185785673,-0.00019963996959863626,-0.0029425141594678463,Other,0.0,0.0,0.0
Csf1r,-0.0054104170632945075,0.03887001650774096,0.014350628603651354,-0.00015822416141543898,-0.0018666272005947746,Other,0.0,0.0,0.0
Cspg5,-0.0008907022112548562,-0.0018404759236730428,-0.0002986907017399624,0.0007218121909053631,0.001133074497230816,Other,0.0,0.0,0.0
Csrp1,-0.011275781215284126,-0.0003089567892348961,-0.008355381683294704,9.13308476599592e-05,0.00389752440030803,Trajectory-1,119.0,0.0,0.0
Cst3,0.0012635568840993643,-0.0014239642242841835,-0.00011097252052089481,0.0013941510740702746,0.00030467263020324573,Other,0.0,0.0,0.0
Ctla2a,-0.0020246265079193154,0.004017302277785385,-0.016461134059664692,0.002460814543868179,0.013719918019934826,Other,0.0,0.0,0.0
Ctsc,-0.003578089917731077,0.01809868968993501,-0.002405963162950255,-6.699510898340305e-06,0.0029984631755439525,Trajectory-1,30.0,0.0,0.0
Ctss,-0.00570131791892851,0.04153537214881563,0.01638828160653503,-0.00018733668446844354,-0.002472369186938986,Other,0.0,0.0,0.0
Ctsz,-0.0019481479977488567,0.005774566033700574,-0.006107133870868454,0.0009986589030765024,0.0022606415505728003,Trajectory-1,61.0,0.0,0.0
Cttn,0.0038578295437670163,-0.00296253343186842,0.004290354367570052,-0.0021074977831464226,1.400396973453103e-05,Other,0.0,0.0,0.0
Cxcl12,-0.0019881283618768913,0.0039075462810435535,-0.015696154856676824,0.002216857055743536,0.012254346410583993,Other,0.0,0.0,0.0
Cxcl14,-0.032113002383864026,-0.008565556847731089,0.004999189945403893,0.0005967320365847159,0.0017175816806825484,Trajectory-3,0.0,0.0,21.0
Cyr61,-0.008960105544013431,0.0007855203497849356,-0.009518473924464827,0.0009918082010137352,0.006184085773925875,Trajectory-1,23.0,0.0,0.0
D130040H23Rik,0.002963700645206574,-0.001875282779881848,0.0021238106993598745,-0.003596817881111821,0.0011714196899193046,Other,0.0,0.0,0.0
D15Ertd621e,0.003465857084720535,-0.0026692033664119544,0.0033488609431483888,-0.00021820059059927922,-0.00047892123862945364,Other,0.0,0.0,0.0
Dbi,-0.002287894290911012,-0.001255147265746415,-0.0020414797495872505,0.0006149427676538912,0.0017605438552508003,Other,0.0,0.0,0.0
Dcaf10,0.0034737247970886838,-0.0026195954767222122,0.0033286856693242467,-0.0008014109620431106,-0.00021114002095810915,Other,0.0,0.0,0.0
Dcn,-0.0014311111130329097,0.0038599097632882307,-0.010150296169095383,-0.0007219687998974052,0.0029491056003289103,Trajectory-1,98.0,0.0,0.0
Ddc,0.00010031018879999064,0.0014185038295326318,-0.007013132362250012,0.00047578500780754226,0.0036810977106604605,Trajectory-1,63.0,0.0,0.0
Ddx19b,0.003612704845188437,-0.0026880090798783274,0.003724030523774424,-0.0032256156498751943,0.0007553361538350157,Other,0.0,0.0,0.0
Ddx51,0.0034672767858515557,-0.0025983313063353284,0.0032187712032539784,-0.0007428745533865293,-0.00020966214120416444,Other,0.0,0.0,0.0
Des,-0.0018063520236280238,0.0039022588372380524,-0.011624799895070424,0.0003929152678961263,0.004515300734310207,Trajectory-1,31.0,0.0,0.0
Dgcr14,0.003459546393032137,-0.0026792127003016867,0.0033293391715659678,9.217331139321843e-05,-0.0006232218905302401,Other,0.0,0.0,0.0
Dimt1,0.0036483812002728166,-0.0027900968900382776,0.0037071275410576784,-0.0006408713260277912,-0.00044178211230509995,Other,0.0,0.0,0.0
Dlx2,-0.0007319795127172296,0.002286585853280689,-0.00929160807756202,0.0004901981185684892,0.003852024492142052,Trajectory-1,39.0,0.0,0.0
Dnah10,0.0035833477724207864,-0.0026566904189326435,0.0034452326721456333,-0.0014130656811097713,-1.986084154130543e-05,Other,0.0,0.0,0.0
Dnajc12,0.0036190405905645816,-0.0027762866569042317,0.003570617481287054,0.00033756330626325004,-0.0008694905796699701,Other,0.0,0.0,0.0
Dnajc28,0.003852691693737087,-0.002903820488053345,0.00432317972633346,-0.0036136688571484807,0.0006990195297046075,Other,0.0,0.0,0.0
Dpagt1,0.0035274603753578013,-0.0027449151162078898,0.003574341920389458,-0.0009087908374550145,-0.00022555049099164706,Other,0.0,0.0,0.0
Dph7,0.0038933819133476683,-0.0029871432917779896,0.004450139132686096,-0.0030411680402312835,0.00039126825453011395,Other,0.0,0.0,0.0
Dram2,0.003277580788949044,-0.002520121035731732,0.002767601504297987,0.0019950021227884587,-0.0013354140473076446,Other,0.0,0.0,0.0
Dynlt1f,0.00024297878383976204,0.0010084680933730619,-0.004832035229871177,0.005134093866786622,-0.0007864265627236292,Trajectory-1,105.0,0.0,0.0
E130308A19Rik,0.0033600379915920847,-0.002592631131079346,0.0030624706778345227,0.0003430565641820929,-0.000643424348806425,Other,0.0,0.0,0.0
E430025E21Rik,0.0034587463778694505,-0.002594559685663003,0.003131192053338821,9.815299004785996e-05,-0.0005867353145175235,Other,0.0,0.0,0.0
Ebf1,-0.0016952090106633815,0.0036254280205478273,-0.013004667140215725,0.0013850086322554065,0.008122367312997036,Trajectory-1,9.0,0.0,0.0
Ehmt1,0.0034053545427115317,-0.002633211038029686,0.0029596094118393636,0.002837433859807899,-0.0018641793393861315,Trajectory-2,0.0,4.0,0.0
Elp4,0.0030377933435485954,-0.0024158764135231805,0.0023884976523229863,0.002345374807748351,-0.0013252641092754223,Other,0.0,0.0,0.0
Emcn,0.0009947347563261752,0.0003981849371367308,-0.003933767673909889,-0.0007817332798083453,0.0030973071254041806,Trajectory-1,60.0,0.0,0.0
Eml1,0.0034333410355416793,-0.002611940798476127,0.003095144499834989,0.001039203527957651,-0.0010327560179128157,Other,0.0,0.0,0.0
Enpp2,-0.0022155664431690865,0.0034426818962754327,-0.01383609991926094,-0.004909350306880774,-0.005091150473583965,Trajectory-1,131.0,0.0,0.0
Eomes,0.0014023386614362575,-0.0007657355091479068,-0.0045504279996386315,0.04960803934664793,-0.024790582169967545,Trajectory-2,0.0,60.0,0.0
Epas1,-0.01263784015168684,-0.0007699780665304575,-0.00781201112655264,0.0012971234479351983,0.0065878210310906385,Trajectory-3,0.0,0.0,2.0
Ermn,-0.0025011720804655416,0.004623933322402721,-0.025405220978814293,-0.026290353874091635,-0.04636945942544722,Trajectory-1,143.0,0.0,0.0
