gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
AARS2,0.006488829932517329,-0.000991812254144343,0.0011462814186512411,-0.0028358591109814385,-0.0026879707156872764,Trajectory-2,0.0,55.0
ABCC2,0.001109482887089033,0.0011909360047897887,-0.001005822118148616,-0.0029733960187214845,0.000850115895042269,Trajectory-2,0.0,8.0
ABHD15,0.0027478189021855775,0.0011605861064885694,0.0008549033414313755,-0.004089915820458985,-0.0008660232387514492,Trajectory-1,267.0,0.0
ABO,-0.0008899838268545653,0.0016014490075768825,-0.0017398303366054583,-0.0023214274945325382,0.001530467352164586,Trajectory-1,206.0,0.0
ACCSLP1,0.00019636098802423195,0.0016381372141634773,-0.000586139733581442,-0.0021396152532655263,0.0015311126006705568,Trajectory-1,230.0,0.0
ACSF2,0.004848772906826053,4.8545100677651075e-05,0.0007597407355055275,-0.003902809446288298,-0.0015377844795831997,Trajectory-2,0.0,27.0
ACSM4,-0.008652608948016612,0.014959992383258278,0.03153211998962811,0.01502592502533904,0.0013084463091318824,Trajectory-1,287.0,0.0
ACTA2,-0.002002656188994857,0.003116958253485236,0.0009707858755861612,-0.002468888327642501,0.0008345071614334938,Trajectory-1,238.0,0.0
ACTC1,0.0025302908093044834,0.001318745079865742,0.000525716559709937,-0.004097469569848635,-0.0002097036639602388,Trajectory-1,261.0,0.0
ACTN2,0.0020239835135100154,0.0005243108899705631,-0.0005936623689794987,-0.0027723816250043195,0.00015588175001349558,Trajectory-2,0.0,32.0
ADAD1P1,-0.0049056524409864175,0.0012159424310844596,-0.001389878805067724,0.0004820046398714296,0.0009675839095322422,Trajectory-1,141.0,0.0
ADAM19,0.002939139702466784,0.0022739991182372686,0.002492256721388763,-0.0068662842756146095,-0.0018946004920463902,Trajectory-1,301.0,0.0
ADCY10P1,-0.004272988348129912,0.0024300821294353956,-0.0005702385270478528,-0.00029192165001162655,0.0006079172520073819,Trajectory-1,185.0,0.0
ADGRB2,0.007872804465454188,-0.0027205589615861563,0.0005471957323718684,0.0017526134449489398,-0.0012396092259289427,Trajectory-2,0.0,119.0
ADHFE1,-0.0007749357885971156,0.0022813383444585653,0.0005696045538107809,-0.00317239890462662,7.178000071247311e-05,Trajectory-1,241.0,0.0
ADI1,-0.0002709331965706033,0.0016522042823644842,-0.0017088128325287093,-0.0019695463196255925,0.0020978029391815157,Trajectory-1,216.0,0.0
ADI1P1,-0.010257973241319579,-0.001729363916840213,-0.0044838378866301635,0.006046353913037358,-0.01944142448818996,Trajectory-1,37.0,0.0
ADM2,9.041006516622181e-05,0.002361212860029671,0.0006142053407173534,-0.004116366989720483,0.00010998015566529981,Trajectory-1,251.0,0.0
ALG1L15P,-0.008033619020721925,0.0007482751639996882,-0.004913867727735532,0.003704902024250255,-0.0020000732508308047,Trajectory-1,64.0,0.0
ALOX5AP,-0.011253092244095693,-0.007412802833329262,-0.0006869862249204328,0.0029833516330417535,-0.011990468231741087,Trajectory-1,30.0,0.0
AMIGO1,0.00809177312057551,-0.00271362301575461,0.0008925722064474757,0.0015076225668609815,-0.0017434583501772518,Trajectory-2,0.0,120.0
AMPH,0.009747283394192004,-0.004897842138194904,0.0003565134439051673,0.008098752868478401,0.000541052614705252,Trajectory-2,0.0,166.0
ANGPTL8,-0.005762461086236098,0.002826800775167033,-0.005076631912865001,0.0023127452193421583,0.005797391424719525,Trajectory-1,142.0,0.0
ANKMY2,0.0026252426696322067,0.0027824534628997106,0.003260064464659607,-0.00717108421742901,-0.0020334427165514513,Trajectory-1,313.0,0.0
ANKRD11,0.0037919555940956664,0.001177155938830021,0.0013624535171123382,-0.005635009703179173,-0.0016561658986757781,Trajectory-2,0.0,1.0
ANXA1,0.00461521906849034,-0.0002538495968610757,0.00022289610820729955,-0.0020617067811551436,-0.00037027710982951475,Trajectory-2,0.0,80.0
APLNR,-0.0039502561259746665,0.007156469582394294,0.010454716689638911,5.9254452583763766e-05,-9.026461797163353e-05,Trajectory-1,276.0,0.0
APOA1,-0.00618284390871073,0.004107793668965368,0.005468892978748936,0.002173956199576623,-0.0007153735502638405,Trajectory-1,207.0,0.0
APOA2,-0.007726720099314701,0.000689781232035082,-0.0039034170515960045,0.0027787486133009904,-0.00020698198542888347,Trajectory-1,82.0,0.0
APOBEC3C,0.001452490961266722,0.003957881464488062,0.004709828620834153,-0.007203394196950508,-0.0017390702262564586,Trajectory-1,315.0,0.0
APOBEC3D,-0.007836858246353039,0.015824352027691828,0.03252084104296851,0.01367222628077081,0.001709057257030324,Trajectory-1,314.0,0.0
APOE,0.0016358465501977455,0.003411895337933242,0.0036631212642459416,-0.006856231718986393,-0.001468658809462723,Trajectory-1,300.0,0.0
AQP4,0.004419897050860274,-0.00045401049457889035,-0.00022112799534322884,-0.0016424892434346151,-0.00013169261817294348,Trajectory-2,0.0,68.0
ARHGEF3,0.004949882009874663,0.0002950574576652037,0.0012198218512001467,-0.00474679748428176,-0.0021656695052882477,Trajectory-2,0.0,12.0
ARSL,0.0029507864822081566,0.0019544934804689123,0.001974010065528616,-0.006180010303001285,-0.0015240621315769094,Trajectory-1,288.0,0.0
ATP1A3,0.001457515875523609,0.00108156694620772,-0.001030241811959396,-0.002754719776752602,0.0012415042149163372,Trajectory-2,0.0,22.0
ATP5MC1P6,-0.006654917942186726,0.0032672264749153235,-0.006412374714284434,0.003511877375189964,0.006864357479042853,Trajectory-1,131.0,0.0
ATP8B5P,-0.007759272652081906,0.0009594786340415489,-0.004730434772507942,0.0033315262098168375,-0.0004587734179546447,Trajectory-1,71.0,0.0
B3GALT4,-0.004663468581079961,0.0010003560419017134,-0.00042311735378973344,-0.0002912364872193256,-0.0016161771762170068,Trajectory-1,148.0,0.0
BARX1,0.0052439796257173835,-0.0013357639203358403,-0.000598124133786754,0.0009005719521379348,0.0009003110043638751,Trajectory-2,0.0,113.0
BCL6,0.002186538520697576,0.00028702142687846974,-0.0006376219454346031,-0.0027594243109946913,-0.00013068792203585806,Trajectory-2,0.0,25.0
BEST3,-0.0077447580694859994,0.015287080469672275,0.03114528363727152,0.012848720051380524,0.0014531345628845012,Trajectory-1,307.0,0.0
BEST4,-0.003424054921951035,0.0015386558027936086,-0.0019735678501572,-0.0011280097204440674,0.00010335759386077418,Trajectory-1,168.0,0.0
BHLHE41,0.006066851493800126,-0.0018115355080208736,0.00010698456569901272,0.001514448853253684,8.1633834473194e-05,Trajectory-2,0.0,125.0
BIRC3,-0.012968619707525775,-0.016262875470617034,0.004704516067536329,-0.001351052658735952,-0.0024833578543289265,Trajectory-1,27.0,0.0
BMP3,0.0007136667218878501,0.00044577787526559385,-0.0013252549815663353,-0.0017124856334714722,0.0006797663518928382,Trajectory-2,0.0,45.0
BNIP3P17,-0.006155167951542235,0.002656747109946174,-0.004935408029784115,0.0024783641570573114,0.004489314726884819,Trajectory-1,134.0,0.0
BTBD17,0.007668001976577622,-0.0031475784873971568,-0.0001384622924759543,0.004324597976658132,0.0007947531420668579,Trajectory-2,0.0,146.0
BTBD9,0.004195635445091483,0.0005080007604660512,0.0008080449224470919,-0.004127412706746665,-0.0011692609174917044,Trajectory-2,0.0,30.0
C11orf52,0.007105612836679561,-0.0025571582661776692,-0.00010158708348990619,0.002725598804921593,0.0003696594652079046,Trajectory-2,0.0,133.0
C7orf78,-0.0036958416617053737,0.002344214469733947,-0.004245652429043224,0.000723726873173298,0.004353486671399683,Trajectory-1,164.0,0.0
C8B,-0.009485834187038201,-0.00021615022533902082,-0.004878012778208936,0.005767032201953503,-0.015128951409640268,Trajectory-1,51.0,0.0
CATSPERT,-0.0071095891951677105,0.00218968928092226,-0.006057041329635136,0.0032848771431419886,0.0043761638255028655,Trajectory-1,97.0,0.0
CAVIN2,0.0009033793960616018,0.0007684734787450422,-0.0014125295380904078,-0.0010722643682065257,0.0011859286563957153,Trajectory-1,209.0,0.0
CBX5P1,0.0015583351196842069,0.0010225180246387416,-0.0006681891848172904,-0.001940724564474809,0.0013514297849031957,Trajectory-1,235.0,0.0
CCDC146,-0.0005219153628568816,0.0013552059012904797,-0.0019081356921384254,-0.0006391717435700641,0.0025864599174964535,Trajectory-1,201.0,0.0
CCDC62,-0.0011936601979605766,0.0011337707261379843,-0.002046652607200479,-0.0018512511290019941,0.00113638615320014,Trajectory-1,183.0,0.0
CCL2,0.006888014597831509,-0.0018707123016318702,0.0004257897306907762,2.2880848265628788e-05,-0.001093269691001906,Trajectory-2,0.0,102.0
CCM2L,0.006246170352972423,-0.002105120624254489,-0.0002787577873242227,0.0017773632955041896,0.00010655933179252307,Trajectory-2,0.0,118.0
CCN2,0.0029566812350907724,0.002125717602847489,0.0022703482162684152,-0.006511848064035586,-0.0017491172404771368,Trajectory-1,295.0,0.0
CCN5,-0.007741741138738166,0.00045925637952742593,-0.004652290615788821,0.0030498483253597036,-0.0018029257899943064,Trajectory-1,65.0,0.0
CCNA1,0.011599354336150034,-0.007330755967448559,0.00024016380190602788,0.016621408629142062,0.003895373372355706,Trajectory-2,0.0,186.0
CCNL1,0.006533926703041985,-0.0011599951942875832,0.000889318420454543,-0.0024817676744228515,-0.002507764660717613,Trajectory-2,0.0,57.0
CCR7,-0.014941919529115895,-0.02426274492894915,0.008809781288929595,-0.004344617337219644,0.0036274586751311013,Trajectory-1,18.0,0.0
CCT8P1,0.0024135453204611203,0.0008953579095363821,-9.690926045232461e-05,-0.002737438771383282,0.0005043389528745268,Trajectory-1,245.0,0.0
CD1D,0.0004405842652958859,0.004747749301799073,0.0059495659154779525,-0.006080450270464125,-0.0012970813200096078,Trajectory-1,305.0,0.0
CD48,-0.008729433974980523,0.01600231854821111,0.03391524162050037,0.015942500230192128,0.0017554955270975986,Trajectory-1,298.0,0.0
CD70,-0.016946472893501218,-0.030907487619930223,0.011574441498238996,-0.00592307504729417,0.005243968530772825,Trajectory-1,5.0,0.0
CD74,0.00474625860132723,-0.000605394073323682,5.169887309847803e-05,-0.002132385553923834,-0.0007624309184180792,Trajectory-2,0.0,61.0
CD79A,-0.015806382313409053,-0.027322051288202105,0.010113404439859308,-0.005207074750155646,0.004577534828722848,Trajectory-1,14.0,0.0
