gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
1110017D15Rik,0.00047787617943738787,-0.0003480188134149792,0.0008767798453199149,-0.011876429737545944,0.0047481898960352546,Other,0.0,0.0,0.0
1700001C02Rik,1.4571029589823647e-05,-0.00018718890491503459,0.0008930378795269055,-0.02972564463048476,0.016257294443842166,Other,0.0,0.0,0.0
1700003E16Rik,0.00025097745091773375,-0.00026410326518414235,0.0008734690402701839,-0.02053205675271672,0.009947469012779339,Other,0.0,0.0,0.0
1700007G11Rik,0.0012553232657933789,-0.0008455623460616194,0.0012483289712702588,0.005032426808208488,0.007607382013115049,Other,0.0,0.0,0.0
1700007K13Rik,0.00119352089548219,-0.0008006561829060335,0.0011744605977151638,0.0037817870695975968,0.0047491165717325695,Other,0.0,0.0,0.0
1700013F07Rik,0.00015261092774873525,-0.00022410364256721997,0.0008726052885162699,-0.023869711620401208,0.012130536673281523,Other,0.0,0.0,0.0
1700014D04Rik,0.0012359444290288557,-0.0008315493808684321,0.001124682216323008,0.004185614752216363,0.003150765923779633,Other,0.0,0.0,0.0
1700016K19Rik,0.0010003546063860568,-0.0006549251074316881,0.0010231731117695043,-0.00017298356367835929,0.0016499525911858972,Other,0.0,0.0,0.0
1700024G13Rik,0.0006010766075603347,-0.00042870948477831785,0.0009447997301464519,-0.010899803962908631,0.005306020519881556,Other,0.0,0.0,0.0
1700028P14Rik,0.00030775179027561116,-0.00027979915674820085,0.0008647441905428885,-0.01790092548423054,0.008171788892366196,Other,0.0,0.0,0.0
1700088E04Rik,0.0008365224811645196,-0.0005604757336642097,0.0008012975649557461,-0.003442804515421958,-0.0004224595755601437,Other,0.0,0.0,0.0
2610528A11Rik,0.001010882590209358,-0.0006701229473944608,0.000643596332688126,0.000744940540700175,-0.0041311656065105675,Other,0.0,0.0,0.0
4833427G06Rik,-0.00011416778339683166,-0.00011610734478419022,0.0008096682496253223,-0.024691583872383047,0.012151399758839571,Other,0.0,0.0,0.0
4930591A17Rik,0.0013099563844869613,-0.0008862060768166327,0.0012676377258207484,0.006335715456848266,0.008350026072625858,Other,0.0,0.0,0.0
4933433G15Rik,0.0014121069160447414,-0.0009622526636813404,0.0014306588949147868,0.009743835529917547,0.01706965617804213,Other,0.0,0.0,0.0
5430431A17Rik,0.0016558227491812714,-0.0026102960914173396,-0.07136019229739256,0.0010078301240901899,0.0023911789189294203,Trajectory-2,0.0,22.0,0.0
6430531B16Rik,0.0008273478902185825,-0.0005527356162464295,0.0009608822389780921,-0.004558512244102772,0.002055844799897939,Other,0.0,0.0,0.0
6820408C15Rik,0.0009087008430254752,-0.000602822447623099,0.0009974277296550176,-0.002614258015578955,0.0024630805517706755,Other,0.0,0.0,0.0
A830035A12Rik,0.0013199225532208889,-0.0008929257424425944,0.0012825453764933375,0.006615349391856292,0.008854036673317658,Other,0.0,0.0,0.0
AC139294.1,0.0012321968640688766,-0.0008286823196434241,0.0012021058374370812,0.005041408782744412,0.006567930880438539,Other,0.0,0.0,0.0
Abra,0.0018965144890202824,-0.003038404933215071,-0.08689173612971728,0.0021450371782868265,0.008032620220379991,Trajectory-2,0.0,30.0,0.0
Acta1,0.0011045803667287608,-0.0010851747601229723,-0.014569234187531841,-0.00030918154023878487,-0.0062024386046866595,Trajectory-2,0.0,13.0,0.0
Acta2,0.0007906838710215545,-0.0005704511019454014,-0.001673364222503082,-0.0016894691691067979,-0.0066252319644809115,Other,0.0,0.0,0.0
Actc1,0.0008555622575828909,-0.0007999654091812655,-0.007380104464546959,-0.00158268627773623,-0.009657185699864543,Trajectory-2,0.0,2.0,0.0
Adamts5,0.001001964875079841,-0.0004120524038364718,0.0010079384781600486,0.0019515813036244459,0.0015828702149752363,Other,0.0,0.0,0.0
Afp,0.0006812682008075884,-0.000586843569787927,0.0007985913057780156,-0.0006218078431333621,-0.0020440659095612066,Other,0.0,0.0,0.0
Akap14,0.00025906845113523474,-0.0002714851507166771,0.000882838320516904,-0.020837352861742556,0.010222561470799823,Other,0.0,0.0,0.0
Akr1c13,0.0009249795321902831,-0.0005332324572095382,0.0009178420092709038,-0.0017642944263817956,-0.0015917236462655883,Other,0.0,0.0,0.0
Aldh1a2,0.0011018610529257265,-0.0007395721067973957,0.0008796053280396282,0.0018222059305446096,-0.0028145420828299514,Other,0.0,0.0,0.0
Amn,0.0009986509215850093,-0.0006652477020577274,0.0010014763509692153,0.0011096064222155502,-0.0011771018467317874,Other,0.0,0.0,0.0
Ankrd1,0.0015353910115955673,-0.0023565096469479255,-0.06229531498559749,0.00039515827973598877,-0.0008278505514556517,Trajectory-2,0.0,19.0,0.0
Anxa2,0.0007485781801548952,-0.0002577358740241921,0.0004443808946554445,-0.0011574666015975487,-0.004280625908197252,Other,0.0,0.0,0.0
Apoa1,0.0009753612070674514,-0.0006825827316939575,0.0009471699812622395,0.001476337523349369,-0.0011314489239833661,Other,0.0,0.0,0.0
Apob,0.0009213021091800306,-0.0006263980342104697,0.0009890905294854062,0.00047308416850043883,-0.0016374988415469934,Other,0.0,0.0,0.0
Apom,0.0009662998808008397,-0.0006660785624520627,0.0009450396790382962,0.0012231589211683742,-0.001317983757200497,Other,0.0,0.0,0.0
Arg1,0.0010733104204879418,-0.0007155733945652615,0.0008289465765651654,0.001411880252598117,-0.00311883415844353,Other,0.0,0.0,0.0
Armc3,0.0006281457958342235,-0.00043661420994365967,0.000877812368630835,-0.008460222614477519,0.002882707056686841,Other,0.0,0.0,0.0
Asb2,0.0017816125569463028,-0.002822588882943683,-0.0790159205081315,0.001585923564218588,0.005048447873166166,Trajectory-2,0.0,24.0,0.0
Ascl1,0.0010882628634130253,-0.0007218036955228624,0.0009054669445017164,0.0014967723903386472,-0.002062864551022936,Other,0.0,0.0,0.0
Atoh1,0.001217059754843956,-0.0008165707705087422,0.0011028480869546922,0.003755873260752571,0.002085138531140943,Other,0.0,0.0,0.0
Avp,0.0018783489408351179,-0.002983441781328134,-0.08481799445639376,0.002054784937545978,0.007346240242981954,Trajectory-2,0.0,28.0,0.0
B230119M05Rik,0.001077462907305465,-0.0005259321470072597,0.0010452378187695206,0.002777798417617686,0.0028902667641691423,Other,0.0,0.0,0.0
B430218F22Rik,0.0010835974164902645,-0.0007502306547319081,0.0010639526360634011,0.003113834433356382,0.0017485525699509786,Other,0.0,0.0,0.0
BC051019,0.0009642100311002002,-0.0006346468740754099,0.0010264323916897185,-3.579838782158328e-05,0.0018921038253600314,Other,0.0,0.0,0.0
Bambi,0.0010493356095500842,-0.0006877342391139455,0.0008966404943928876,0.0018774925776388644,-0.0014306458889030704,Other,0.0,0.0,0.0
Bcas3os2,0.0009114247721377858,-0.0005851567033036858,0.0006003220941485638,-0.0010319411399414534,-0.0030272772706611255,Other,0.0,0.0,0.0
Bex3,0.0010609932377997002,-0.0007435085476841754,0.0010278274841237958,0.0028739364831653885,0.0005709331435277871,Other,0.0,0.0,0.0
Bhlha9,0.0010308426976978692,-0.0006854620823650194,0.0008006065666470174,0.0007006310336632053,-0.002741523600767979,Other,0.0,0.0,0.0
