gene,canonical_rank,PRISM_K5_StepII,Expression_magnitude,DPT_weighted_mean,GeneTrajectory,GeneTrajectory_EV
Pou5f1,0,0.0457192482933403,0.5234657039711191,0.1121906270895558,,0.0014647705617639583
Nanog,0,0.1598090608086378,0.1805054151624548,0.0898280620999419,,0.0014473703942792984
T,1,-0.204004561296747,2.7842266037211885,0.2033740948652662,133.0,0.0011882231886700622
Mixl1,1,-0.2472073199415827,0.3489308525409608,0.2194785098321039,153.0,0.0013048509201029086
Fgf8,1,-0.0256899149735855,1.05859483476812,0.1865188384764917,80.0,0.0012843331412016202
Mesp1,2,-0.2742510520982519,2.3837822826992503,0.2639926690196252,157.0,0.0012823629390235115
Snai1,2,-0.2255578778559713,0.4845876145515134,0.2568242075267304,139.0,0.0011860317392621343
Foxa2,2,0.4800075620565877,0.2004998611496806,0.3887232072481116,143.0,0.001156369026713079
Cer1,2,0.4276770758515966,1.3962788114412663,0.3949770588996337,139.0,0.001156409877736219
Gata4,3,-0.1372274509144312,0.1710635934462649,0.3804596993699329,122.0,0.0008710228162663058
Hand1,3,-0.1598067484827175,2.218133851707859,0.3778569340605889,6.0,0.0003073642386127728
Tbx5,3,-0.2307110868724288,0.0056928630935851,0.3612395292829449,68.0,0.0004831078529332894
Sox17,3,0.4468920777279502,0.8453207442377118,0.4644540629185046,163.0,0.0011870101954789163
Pax6,3,0.1796298445629323,0.0080533185226326,0.0393397527112593,,0.0015801982235019714
