gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
1110017D15Rik,0.0008377696695955729,-0.0004893133786398018,0.0015895351339437725,-0.0014097679940612313,0.0007866914470590139,Trajectory-2,0.0,32.0,0.0
1190001M18Rik,0.0011275933937171553,0.003786307666840048,-0.001503463226073145,0.0004559814181593731,-0.0002497883521522552,Trajectory-3,0.0,0.0,124.0
1300017J02Rik,-0.01684861246737245,0.0005219575622888934,0.000366112096911336,-0.0027402847721460302,0.005082993930645802,Trajectory-1,22.0,0.0,0.0
1700001C02Rik,0.000500491304498693,-0.000604637829017832,0.001172449592844973,-0.003081043760506711,0.0011811170414007268,Trajectory-2,0.0,26.0,0.0
1700003E16Rik,0.0007544256841412393,-0.0005307073024183543,0.0015250111378029207,-0.002027924640521772,0.0009169176249266378,Trajectory-2,0.0,14.0,0.0
1700007K13Rik,0.0011904573130882242,-0.0013503687619128213,0.0030078694766857467,0.002417538812481066,9.996331986674773e-05,Other,0.0,0.0,0.0
1700012B09Rik,0.0006301437889413428,-0.0006309026420572898,0.0012900288560450356,-0.002807947566694205,0.0011788094820074531,Trajectory-2,0.0,4.0,0.0
1700016K19Rik,0.0011222190441896843,-0.0008736508622858324,0.0024912926367162487,0.0014346739003955706,0.00025227752541294413,Other,0.0,0.0,0.0
1700024G13Rik,0.0007881587347402491,-0.0009392054601044473,0.0014783609513814664,-0.0017844428073532843,0.0009932166070335969,Trajectory-2,0.0,35.0,0.0
1700028P14Rik,0.00072556857945156,-0.0005615643518184537,0.0014464383266523458,-0.002289046488726617,0.0010417085111522752,Trajectory-2,0.0,5.0,0.0
1700088E04Rik,0.0009223156153423331,-0.0005903404555234128,0.0017965625183418315,-0.0008833812080764714,0.0002544487930136159,Trajectory-2,0.0,59.0,0.0
2610016A17Rik,0.0015318533024250023,-0.003673808649216168,0.005572395914984979,0.007145210544723398,0.000957545205781888,Other,0.0,0.0,0.0
2610528J11Rik,0.0014678617104820642,-0.0070254272046194055,-0.0003743228990047717,0.004254363094205089,0.0003372773569235698,Trajectory-2,0.0,155.0,0.0
2810403G07Rik,0.0013745932979460538,-0.0029255447993127583,0.004291316993310138,0.004869486706105578,0.0004579368488727867,Trajectory-2,0.0,79.0,0.0
