dataset,method,n_markers,rho_boot_mean,rho_boot_std,rho_ci_lo,rho_ci_hi
pancreas,PRISM_K5_StepII,15,0.7173881971073585,0.17458548937982626,0.2787370676163145,0.9396798241137432
pancreas,PRISM_K8_StepII,15,0.6797272931869185,0.18326708157875843,0.1828982234913498,0.9083407113891774
pancreas,Expression_magnitude,15,0.34553466619190676,0.21275828922040557,0.019120601027579256,0.7654439957751126
pancreas,DPT_weighted_mean,15,0.8941906654683666,0.05939255015943714,0.7407953794283704,0.966470865606374
pancreas,GeneTrajectory,15,0.6159604212963713,0.1626673838538353,0.21525227571632685,0.858738452270449
pancreas,GeneTrajectory_EV,15,0.7481243341822803,0.14921281044168766,0.36193651547583733,0.9281265271688602
gastrulation,PRISM_K5_StepII,11,0.7678442395792398,0.16409861966769665,0.314722594903491,0.9539220450961858
gastrulation,PRISM_K9_StepII,11,0.5301900721281223,0.22885894467083526,0.028716352780033812,0.8463407745144318
gastrulation,Expression_magnitude,11,0.3919929138933029,0.23586032401809612,0.024059614675747965,0.8899928170333123
gastrulation,DPT_weighted_mean,11,0.7828241874703534,0.18472179591567517,0.29890019822517194,0.9809506363438458
gastrulation,GeneTrajectory,11,0.554970074945364,0.14011281687561766,0.3186510027262766,0.8524043273323416
gastrulation,GeneTrajectory_EV,11,0.8927714985237799,0.08374878368069452,0.6716883453488168,0.978945010372561
gastrulation_erythroid,PRISM_K5_StepII,8,0.8973997758754853,0.09404861978326293,0.6193235372853323,0.9938079899999065
gastrulation_erythroid,PRISM_K7_StepII,8,0.8967943407178687,0.09308942130841447,0.6193235372853323,0.9938079899999065
gastrulation_erythroid,Expression_magnitude,8,0.8340329854710435,0.1538649950810956,0.37893237337253677,0.9938079899999065
gastrulation_erythroid,DPT_weighted_mean,8,0.9443663888573266,0.049901164516728595,0.7947194142390264,1.0
gastrulation_erythroid,GeneTrajectory,8,0.944739258147354,0.04951387218095859,0.7875615306482168,1.0
gastrulation_erythroid,GeneTrajectory_EV,8,0.46060148638812043,0.31195458740809906,0.0828236445561349,0.9622504486493761
hemogenic_endothelium,PRISM_K5_StepII,15,0.7554019990493901,0.15063411552856268,0.37202096541374613,0.9512824567533706
hemogenic_endothelium,PRISM_K4_StepII,15,0.7529506568359325,0.15285735057375555,0.36853294656559477,0.9501749711487407
hemogenic_endothelium,Expression_magnitude,15,0.4852868297932626,0.19062796109554414,0.07329762126756505,0.8099646065707388
hemogenic_endothelium,DPT_weighted_mean,15,0.5290557313007276,0.20600542889002557,0.07448125096436013,0.887183217834601
hemogenic_endothelium,GeneTrajectory,15,0.3127393602485315,0.199791611626474,0.015436976966737024,0.7187057225321541
hemogenic_endothelium,GeneTrajectory_EV,15,0.7374105384555506,0.16184061241252268,0.3200539418375615,0.9536465523752938
bonemarrow,PRISM_K5_StepII,20,0.8894827680335007,0.05948711481639618,0.73623952637368,0.9616672806350565
bonemarrow,PRISM_K10_StepII,20,0.8918026126106458,0.048900799299792186,0.7686179786476846,0.9563072688879305
bonemarrow,Expression_magnitude,20,0.2112783890009082,0.15394323027914025,0.007815948450805077,0.576475054589936
bonemarrow,DPT_weighted_mean,20,0.9024296220184853,0.055670445589154155,0.7495576535572005,0.9680999931560492
bonemarrow,GeneTrajectory,20,0.7229248441650982,0.1465098018162693,0.3766029707732477,0.9200888386083498
bonemarrow,GeneTrajectory_EV,20,0.7982936514273385,0.08469042040888901,0.5978601884485331,0.9206362153912705
gastrulation_e75,PRISM_K5_StepII,14,0.20673047352087986,0.151711794744647,0.007448469827073878,0.5627516445649032
gastrulation_e75,Expression_magnitude,14,0.31954921654151247,0.20344399055624063,0.016988230959838792,0.743351956942766
gastrulation_e75,DPT_weighted_mean,14,0.5440165958824785,0.25601868245539205,0.04411200512630355,0.9511897312113419
gastrulation_e75,GeneTrajectory,14,0.29220239515975,0.2015736849388504,0.013014646320367468,0.753426074841085
gastrulation_e75,GeneTrajectory_EV,14,0.554530464566892,0.2570681347895705,0.04897966270965415,0.962956405255592
paul15,PRISM_K5_StepII,9,0.638408848828728,0.24313749974898666,0.0936585811581694,0.9824547782490287
paul15,Expression_magnitude,9,0.36116858174743544,0.25996670977133884,0.0,0.951661902861773
paul15,GeneTrajectory,9,0.3451635420214681,0.23579609813266805,0.008774968774877606,0.8510664445133994
paul15,GeneTrajectory_EV,9,0.3208485307421231,0.2368280347869901,0.01802067540056632,0.8100925873009825
dentategyrus,PRISM_K5_StepII,5,0.68029902344263,0.2743934231053193,0.10814761408717502,1.0
dentategyrus,Expression_magnitude,5,0.6817289886641466,0.2728782582792163,0.10814761408717502,1.0
dentategyrus,GeneTrajectory,5,0.483423651907938,0.34802347779599735,0.0,1.0
dentategyrus,GeneTrajectory_EV,5,0.9291629776067482,0.07492067538432938,0.7453559924999299,1.0
endoderm_diff,PRISM_K5_StepII,7,0.7360997353589125,0.22930453637459278,0.16101529717988267,0.9901475429766744
endoderm_diff,Expression_magnitude,7,0.6567739363964838,0.25177666230320095,0.06262242910851494,0.9839766894520212
endoderm_diff,GeneTrajectory,7,0.5365308227126795,0.27633908932299067,0.06030226891555272,0.9354143466934853
endoderm_diff,GeneTrajectory_EV,7,0.7305114507535155,0.23283087298947228,0.16101529717988267,0.9901475429766744
