gene,canonical_rank,PRISM_K5_StepII,PRISM_K4_StepII,Expression_magnitude,DPT_weighted_mean,GeneTrajectory,GeneTrajectory_EV
Sox17,0,-0.3859753317648319,-0.2000732827188062,2.269130272489735,0.1079345977842309,197.0,0.0033904596795422772
Cldn5,0,-0.3488065644524161,-0.2367900945074873,1.223217618514371,0.0963610471903495,272.0,0.004442211675934793
Emcn,0,-0.3863192032530295,-0.2350508101134466,0.1802911534154535,0.0919113083416399,259.0,0.00419318446120867
Egfl7,0,-0.2406733104929914,-0.1908088839755819,9.917879805897725,0.084775704211529,114.0,0.002671647921121448
Runx1,1,0.0497739807917105,-0.0342265805438499,0.4128406121687196,0.1164802952778554,121.0,0.0026135070605973186
Gata2,1,0.0965343221898948,0.0804624042943255,0.528555431131019,0.1242278747297983,23.0,0.0015531382943836823
Gfi1b,1,0.1562592338206767,0.0354714364762884,0.0634565136244867,0.1310169874960857,6.0,0.0004464276810999171
Myb,2,0.1822972433268195,0.0975552827553176,0.1190742814483016,0.1284839134428192,7.0,0.00013554694879755323
Spi1,2,0.3052779844314208,0.2730339858388263,0.0313549832026875,0.1513229018008267,87.0,-0.003380809272486964
Itga2b,2,0.2016881434823224,0.3951020966523202,0.0309817095931317,0.2516145895173152,90.0,-0.002767301016861408
Cd44,1,-0.0586677399312032,-0.1530745521530345,0.5662560656961553,0.1056657408144204,169.0,0.0030957848793549997
Lmo2,1,-0.2672798448795763,-0.1985625874835105,3.847704367301232,0.0877040686498892,130.0,0.002801755199458484
Tal1,1,-0.1664384020608847,-0.1630191374372583,0.5460992907801419,0.0850859065462081,14.0,0.0016833844269033614
Gypa,3,0.3322825263700924,0.496023960905536,0.0597237775289287,0.1848234002173474,177.0,-0.006661993664792539
Klf1,3,0.325390079560066,0.4771751806163563,0.1332586786114221,0.1736128603076951,148.0,-0.007176712236693745
