gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
A2M,0.004920103882570617,-0.0025717382621797654,0.01028253655469589,-0.008898134222164877,0.001357209184885413,Trajectory-2,0.0,279.0
ABTB3,0.0012455860146045662,-0.0001318647567631944,0.00106093208542164,-0.0005390761226138012,0.00030309761605808183,Trajectory-1,88.0,0.0
ACAP1,0.0011316552706514727,0.00032548791371967377,-0.0016949444929191836,0.0010825041947930142,6.545223878742084e-05,Trajectory-2,0.0,38.0
ACKR3,0.004863670873665776,-0.0025020830257283,0.01000449235829974,-0.008587653410153395,0.001359599069723544,Trajectory-2,0.0,277.0
ACSL6,0.002485101423973475,-0.00020403415502219126,-0.00010925604896624641,0.0023822422940424216,-0.0007069909790047322,Trajectory-2,0.0,86.0
ACSM3,0.002487296225399224,-0.0002921825197647923,0.00044397644359482787,0.0015000031295776337,-0.00037317309734903186,Trajectory-2,0.0,145.0
ACTC1,-0.014997920161307585,-0.01644955560011206,0.00030333290232911867,0.00032154544870199604,0.0015469281051981394,Trajectory-1,207.0,0.0
ADAM20P1,0.00421512080976642,-0.0018338335677956306,0.007116125758933109,-0.005120441382778523,0.0007266639747460603,Trajectory-2,0.0,264.0
ADAMTS18,-0.022186216487415946,-0.033530376150213766,0.004717703161295818,0.008377187625288236,-0.0003346227796710363,Trajectory-1,231.0,0.0
ADCY4,0.003940418817745765,-0.001449505910638272,0.005250612147736843,-0.002347338178223784,-0.0002600581484450779,Trajectory-2,0.0,242.0
ADGRE2,0.0013530765833570642,0.0003071463296167732,-0.0018152624724810365,0.0016112729362055182,-0.0002362291055853987,Trajectory-2,0.0,20.0
ADGRG6,-0.0013709137517917823,0.000814158124524752,-0.003508225887477915,-0.0010972133113520527,2.554487800224636e-05,Trajectory-1,19.0,0.0
AFAP1L2,0.0014565169306156181,6.50314300366721e-05,-0.0014442114153023565,0.0015645967754834237,0.0002005615058812435,Trajectory-2,0.0,46.0
AFP,-0.018017091179114837,-0.009122195083366527,0.005667035926023909,0.003272260003038422,9.317229613944739e-05,Trajectory-1,217.0,0.0
AIFM3,0.002074282397395144,-6.202444493156188e-05,-0.0004843101327249706,0.001689467089082899,-0.0003274902665388219,Trajectory-2,0.0,97.0
AKR1D1,-0.001062707072898263,0.0008326557402552461,-0.0025966867111983025,-0.0007082720665023669,0.0009639146093318864,Trajectory-1,36.0,0.0
ALAS2,-0.007109575932904908,0.0020314907715051297,-0.0007144627804724976,-0.003007761827765898,-0.011569065156931319,Trajectory-1,175.0,0.0
ALG1L1P,0.0005984255417820765,0.00031261609012286625,-0.002100452926064529,0.0007787908607840082,0.0003580123067271469,Trajectory-1,13.0,0.0
ALPL,-0.0024301350786062556,0.0011455999803131349,-0.0033425659976348276,-0.0018247102656619588,0.002323047468279283,Trajectory-1,55.0,0.0
AMOTL2,-0.0013163894782769192,0.0006111172069050154,-0.0037259250261881516,-0.0008758891977162251,0.0013908579288747695,Trajectory-1,21.0,0.0
