gene,canonical_rank,PRISM_K5_StepII,PRISM_K8_StepII,Expression_magnitude,DPT_weighted_mean,GeneTrajectory,GeneTrajectory_EV
Sox9,0,0.379013692703255,0.3722743525902831,1.7683982683982684,0.1409232365721956,73.0,0.005689363319687096
Hes1,0,0.4023200491442393,0.3934291876965423,1.037608225108225,0.0929753299473179,89.0,0.007869599709163533
Spp1,0,0.4346240231761591,0.4189316441598948,23.486742424242426,0.0768677335629504,76.0,0.00635824565230033
Krt8,0,0.2375069969884812,0.2218341659818008,9.324945887445889,0.3721877681204786,16.0,0.00022543674046163713
Krt18,0,0.2882034902327764,0.2907218826188453,7.1396103896103895,0.2493850348834286,30.0,0.0010331091238352354
Neurog3,1,0.0804931008567001,-0.0161398519142304,4.6563852813852815,0.5148229208976579,,-0.0012046433118870154
Neurod1,2,-0.1793921760013607,-0.200611533292979,0.1298701298701298,0.8135296293844779,40.0,-0.0023414118893116754
Pax6,2,-0.2255877971197531,-0.230659716314984,1.290313852813853,0.8545571670137228,138.0,-0.002574213477119306
Isl1,2,-0.2351895368653504,-0.2767968720316288,4.286796536796537,0.8523054405527775,184.0,-0.002615785069572268
Ins1,3,-0.187187927845504,-0.1924105969632397,13.323593073593074,0.9344225579682572,201.0,-0.002472839790081262
Ins2,3,-0.1927498921007305,-0.2016498105956749,5.789772727272728,0.9329089511519718,218.0,-0.0027072835544173475
Gcg,3,-0.1888087486930195,-0.1308156031882225,19.88474025974026,0.8899778826649904,243.0,-0.0027598495383029833
Sst,3,-0.1832002268569927,-0.2291002201109883,4.456709956709957,0.8575844589567102,50.0,-0.0018878264768433862
Ghrl,3,-0.1857643379101449,-0.1148729695410253,15.7616341991342,0.8157339232429677,123.0,-0.0015910949620162732
Pyy,3,-0.2129374794216098,-0.2580428972003523,58.32954545454545,0.8829652537357237,176.0,-0.00236774600840917
