gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
1110012L19Rik,-0.0011361726187924432,0.0009059078230915994,-0.0007176184999221933,0.005272367217145301,-0.0044219984170476515,Other,0.0,0.0,0.0
1520401A03Rik,-0.001624132765278767,0.006540720776275026,-0.008586006222357927,5.8965591390392354e-05,-0.00013894621693006412,Other,0.0,0.0,0.0
1700003M07Rik,-0.00257357595862027,-0.007043033337082805,0.001239166412763568,-0.0018656755118960932,0.004659409044230091,Trajectory-2,0.0,178.0,0.0
1700011H14Rik,0.008422808720344606,0.016777978663708927,0.023527244980823404,-0.007685569583598728,0.012156526342878332,Trajectory-3,0.0,0.0,97.0
1700015F17Rik,-0.0021332613179209526,-0.002224891499167585,-0.001649740261238084,0.001338362079101374,0.00234475208990316,Trajectory-2,0.0,119.0,0.0
1700128E19Rik,-0.0015557102712340867,0.0115057153144573,-0.013671482025254348,-0.006330856985446453,0.004673821819284414,Other,0.0,0.0,0.0
1810008I18Rik,-0.001995777364198233,-0.0020190197318048103,-0.0012423075979035576,0.004655316424943538,0.00018485626672464113,Other,0.0,0.0,0.0
2700016F22Rik,-0.00190108047827169,-0.004323248354333387,0.001232733548682601,0.003132862850546939,0.0015175191724966157,Trajectory-2,0.0,76.0,0.0
2810417H13Rik,0.028141180989767263,0.0005831542041816675,0.003169400547158352,-0.0005073516947227926,-0.0070426002551812385,Trajectory-1,4.0,0.0,0.0
3830403N18Rik,-0.0009257974857273509,0.0004958044359346791,0.0004323983774914385,0.0029273892185460496,-0.0034288331470413154,Trajectory-2,0.0,115.0,0.0
4930539E08Rik,-0.0017513214421722024,-0.00040842951549584857,-0.0022103964294090243,-0.001599102193705739,-3.504767035647654e-05,Trajectory-2,0.0,187.0,0.0
4931429I11Rik,-0.002615946899559873,-0.007164278752730269,0.001309069974807386,0.000928501558200569,0.005649704893364444,Trajectory-2,0.0,103.0,0.0
4932438H23Rik,-0.0014809546353715764,0.013298247145920006,-0.015357169182560384,-0.008989848954182074,0.006993545948326398,Other,0.0,0.0,0.0
8430408G22Rik,0.007574231529696756,0.016209376966745622,0.022370453897287562,-0.006605615827250355,0.009985119531086394,Trajectory-3,0.0,0.0,91.0
A930017K11Rik,-0.0018439352138167324,-0.00027265893559758384,-0.0025221647967305968,0.0015813248845203192,2.100760184902585e-05,Trajectory-2,0.0,125.0,0.0
AB124611,0.001295281436887115,0.003934805359645265,0.0051859419308381794,0.0014399048554870888,-0.0013498598677859621,Trajectory-2,0.0,46.0,0.0
Aard,-0.0027431039600302513,-0.008357859730575247,0.0018066006945739806,-0.00517081985020722,0.003027621632774082,Trajectory-2,0.0,197.0,0.0
Acoxl,-0.0015382996128319038,0.001328303315292064,-0.003002210502978185,0.001375755287322634,-0.00046847032178957027,Trajectory-2,0.0,113.0,0.0
Acsl1,0.0003519818512587255,0.0032490018076289117,0.0025668536477976146,0.004566030747686077,-0.0069247464804328,Trajectory-3,0.0,0.0,25.0
Acta1,-0.0016990418864390425,-0.0034636231590347948,0.00132270243478685,0.0017799123192356917,-0.0010025212421047231,Trajectory-2,0.0,135.0,0.0
Actc1,-0.001707886146350624,0.0014782439651122457,-0.00367181789280502,0.0033806232393305555,-0.0014820809888158313,Other,0.0,0.0,0.0
Actn3,-0.0016387382654517238,0.005279356642977263,-0.007316337748450344,0.0013809017883007538,-0.001587629539768174,Other,0.0,0.0,0.0
Adamts1,0.008502334836215292,0.016880049893294835,0.023701755819075805,-0.007870014361164081,0.012570717306686213,Trajectory-3,0.0,0.0,98.0
Adgra1,-0.0017556881395468244,0.0002365211401680196,-0.00255306072951334,0.0029255674325523065,-0.0007056110093471395,Trajectory-2,0.0,84.0,0.0
Adgrb1,-0.0016819218261495124,0.011955736261746973,-0.014680517000580562,-0.007520618950958833,0.00635210913320582,Other,0.0,0.0,0.0
Adm,0.009739925901514146,0.0006214168005522895,0.001207151702744338,0.0014373958784968833,-0.0037293497697457293,Trajectory-1,13.0,0.0,0.0
Adra2a,-0.0025238132897645684,-0.0070337774372222096,0.0011910769541707948,-0.002215800039965379,0.006747292460320938,Trajectory-2,0.0,186.0,0.0
Adra2c,-0.0015146311188203173,0.013916996374148744,-0.01618201193104915,-0.010317121511388838,0.008509021018684412,Other,0.0,0.0,0.0
Adrb2,-0.001131008546293399,-0.002030673308813039,0.0017254636461105268,0.0047163413448453664,-0.001133354785137624,Trajectory-2,0.0,14.0,0.0
Ajap1,-0.0015321842260886541,0.008627357704752084,-0.010440830646033548,-0.0024109347310643948,0.0012131330689617412,Other,0.0,0.0,0.0
Akr1cl,0.008909675190724362,0.017469970252537364,0.02467153667001831,-0.008758312503271968,0.01444982100659301,Trajectory-3,0.0,0.0,101.0
Alox5ap,-0.0025300930948267968,-0.007468256078828547,0.001554944861094198,-0.004935082841968175,0.0039033641022124766,Trajectory-2,0.0,205.0,0.0
Alpl,-0.001468010353197828,0.009485211081121428,-0.011078483055150629,-0.002908586808899521,0.001066529935238809,Other,0.0,0.0,0.0
Amigo2,-0.0024997637725053656,-0.00646154214762484,0.0010852539178710736,0.002731318827737662,0.005975438962814469,Trajectory-2,0.0,51.0,0.0
Angptl3,-0.0015821739683796394,-0.0030910663594011134,0.0013350953676309664,0.001744609761897577,-0.000262514143439154,Trajectory-2,0.0,117.0,0.0
Ankrd2,-0.0014823257787903224,0.010587264841519646,-0.012413447089132394,-0.004935539213534399,0.003286618201060262,Other,0.0,0.0,0.0
Anpep,0.0015536202342329442,0.004878316527036033,0.005952522844038582,0.004080363617316102,-0.007333552979813798,Trajectory-3,0.0,0.0,44.0
Anxa1,0.007355347524381589,0.016340298459378497,0.022372489107027303,-0.00708641393774385,0.011474017486636805,Trajectory-3,0.0,0.0,94.0
Anxa3,0.007602540754629369,0.016621762823158377,0.022932155744513873,-0.007404276552440759,0.011996073236604253,Trajectory-3,0.0,0.0,96.0
Apoc1,0.004420226354409473,0.011019025640414104,0.012767287381315962,0.00028571148384112837,-0.003896032743833881,Trajectory-3,0.0,0.0,67.0
Arc,-0.0020933957527410852,-0.004464874146167531,0.0007457195534835904,0.003663489054310705,0.0019167646648642293,Trajectory-2,0.0,58.0,0.0
Areg,-0.002283512956220055,-0.004605811763110737,0.0001563252182825078,0.0029067966571559097,0.0035742851291072786,Trajectory-2,0.0,54.0,0.0
Arg1,-0.0017916007092248065,-0.0039769596519903675,0.0012119550929003417,0.0017995328875228228,-0.0009126268666651665,Trajectory-2,0.0,130.0,0.0
Arhgap22,-0.0009398410274251152,-0.0005602542048872594,0.0009191419526133044,0.0033812620276171316,-0.00198120793925827,Trajectory-2,0.0,45.0,0.0
Arhgap36,-0.0026786550374703565,-0.007995345163749916,0.0013395877204989725,-0.006746084866363537,0.007633747049520361,Trajectory-2,0.0,225.0,0.0
Arhgef15,-0.002552519842257997,-0.006748657142805444,0.001162237411918235,0.0029203762139930023,0.0067420349906322525,Trajectory-2,0.0,25.0,0.0
Arx,-0.0025834295167914945,-0.007563178998390382,0.0016633752530181075,-0.00492713845890209,0.0005421091020460581,Trajectory-2,0.0,199.0,0.0
Asb4,-0.0030194825559050373,-0.010699806123366832,0.002659340366312995,-0.02578732295803365,-0.014477574222760477,Trajectory-2,0.0,247.0,0.0
Ascl1,0.00485082054964902,0.009342612414429182,0.012342986855719081,0.0004110473799115242,-0.0026149674514028692,Trajectory-3,0.0,0.0,69.0
Ass1,0.001391477538294516,0.00517764799183281,0.004924953456932276,0.004530436495800737,-0.008604186583492946,Trajectory-3,0.0,0.0,32.0
Atf3,0.006316385583457986,0.0109177298242684,0.014340943826864924,-0.000875227191211959,-0.0012335561435198824,Trajectory-3,0.0,0.0,71.0
Atp1a2,0.008818088372368839,0.017839210706431748,0.025205308680744488,-0.0091932000478413,0.015529553027597433,Trajectory-3,0.0,0.0,103.0
Atp2a1,-0.0012924108431213797,0.0035567284385679973,-0.004109480076221531,0.0017183813124075527,-0.0008726317970214848,Trajectory-3,0.0,0.0,28.0
Aurka,0.06733504539655648,-0.01769406635398319,-0.01797951257069025,0.0001789539061679506,0.00633166740691111,Trajectory-1,28.0,0.0,0.0
Aurkb,0.07080187060644587,-0.019321603691555226,-0.019961470204575924,0.00016776406328702955,0.009847380067030443,Trajectory-1,33.0,0.0,0.0
Avp,-0.002487367570226923,-0.007354052803526749,0.0017018374016805975,-0.006630702422110233,-0.0017844956255926793,Trajectory-2,0.0,215.0,0.0
BC023829,-0.0016226642569617251,-0.0004549406890540748,-0.0013003272486226812,0.00506720924068283,-0.0023709587728584507,Other,0.0,0.0,0.0
BC048546,-0.0027498053641103106,-0.008459580965463441,0.0018561465291361333,-0.0059387789568701825,0.002490817013649633,Trajectory-2,0.0,206.0,0.0
Bcar3,-0.0020178748036847128,-0.003143109481588731,-0.00026357195796625476,0.004727185967682128,0.0019380452570062442,Trajectory-2,0.0,5.0,0.0
Bdnf,-0.002142783751212821,-0.0056579459011570745,0.0015732099358674969,0.00024210229850452598,0.0008688711391625267,Trajectory-2,0.0,153.0,0.0
