gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
1100001G20Rik,0.005948533360642024,-0.0043143375333543595,-0.0038868292400628325,0.0006299133740139451,-0.00032002094159769816,Trajectory-2,0.0,78.0,0.0
1110013L07Rik,0.002234855024490851,0.0028792965651285025,0.0015411299821751839,-0.0056800490246585586,0.0016577912341708678,Trajectory-2,0.0,203.0,0.0
2010002N04Rik,0.0022835786922319624,0.002635659031749789,0.0019134447238771113,-0.004860332646346757,0.0017891740157803407,Trajectory-2,0.0,208.0,0.0
2210020M01Rik,-0.020474293542468398,-0.01315961477359402,0.0007426199984316105,0.0001689736697807801,0.0036881831334835704,Trajectory-1,77.0,0.0,0.0
2410006H16Rik,-0.010844312195439562,0.005048897940811413,-0.0063308936504446,0.00903441211726907,0.0030816630405491093,Trajectory-1,11.0,0.0,0.0
4930486L24Rik,0.005269460792552632,-0.002356733646517564,0.002477830925964744,0.0005253939951819942,0.0014592830217488785,Trajectory-2,0.0,146.0,0.0
5830405N20Rik,0.006592885181258891,-0.004589156007886407,0.0008223469828611171,0.002450189855675247,-0.00037934138727998586,Trajectory-2,0.0,105.0,0.0
9130206I24Rik,-0.0001487672454389342,0.005601484265652582,0.0009361962675071896,-0.004740298762317141,-0.0013897384232251383,Trajectory-2,0.0,241.0,0.0
AK079675,0.004230930355112082,-0.000945430728352225,0.010195076019245535,0.004958035604565405,-9.94351072100999e-05,Trajectory-2,0.0,212.0,0.0
AK142847,-0.02401096933906517,-0.021071310692777043,0.005117902868994169,-0.008028047144998825,-0.0042840786470184225,Trajectory-1,88.0,0.0,0.0
AK146183,0.00330157771955302,0.0006935210714132612,0.005691147023788171,-0.0003979511642284321,0.0024961148885192875,Trajectory-2,0.0,214.0,0.0
AK150559,-0.010358727471051836,0.0034540396664761042,-0.004142149773141141,0.005905037362916561,0.0026654802490737356,Trajectory-1,39.0,0.0,0.0
AK153575,-0.0008375792914639707,0.005989780891887735,0.001092681471339414,-0.0037020981676215508,-0.0011502485962690495,Trajectory-2,0.0,272.0,0.0
AK164126,-0.0014686333873186659,0.006019271893355924,0.0011712579128497565,-0.002438985312643085,-0.0007001748951597885,Trajectory-2,0.0,280.0,0.0
Abcg1,0.00020858800614769499,0.004110939577628791,0.004315079756050397,-0.0017298412151360136,0.0022472705902649667,Trajectory-2,0.0,279.0,0.0
Add1,-0.01732348492289305,-0.005122022304559207,-0.004456794337004412,0.009307852076462026,0.01169702511830355,Trajectory-1,55.0,0.0,0.0
Add3,-0.0030860286228818166,0.008680206139355834,-0.0021495849768363583,-0.0031110977753305512,-0.006711463223227823,Trajectory-3,0.0,0.0,43.0
Aff3,-0.0044301669279441765,0.0068372185178966465,-0.0006754791507620928,0.000551347257439625,-0.0009181179576126568,Trajectory-3,0.0,0.0,61.0
Ahnak,0.00618812157632485,-0.003661526969458031,0.01275256062089755,0.010503214174706576,-0.005615839558147498,Trajectory-2,0.0,178.0,0.0
Aif1,0.007120218616301053,-0.005740033501020489,-0.00041807483124588907,0.004625233148107316,-0.0037418232456902386,Trajectory-2,0.0,85.0,0.0
Akap13,0.0005074320022397865,0.005490738264008044,0.00020138615854337546,-0.006991071372706663,-0.0017184562405049319,Trajectory-3,0.0,0.0,12.0
Alas1,0.007985720885527896,-0.007412992828085114,-0.008488949277790196,-0.000271889479318066,0.001080182586378926,Trajectory-2,0.0,39.0,0.0
Alox5,0.002108265861575738,0.001845221610798631,0.004586853900576578,-0.0012092693382456895,0.002409608999805359,Trajectory-2,0.0,225.0,0.0
Angpt1,0.002297472112885173,0.0015599429139408166,0.007843335260919904,0.0008232974745603854,0.003216704000117318,Trajectory-2,0.0,253.0,0.0
Anxa2,0.008303436930355098,-0.008259043180093132,-0.007383192579244317,0.003989121616430591,-0.0036518974534936527,Trajectory-2,0.0,37.0,0.0
Anxa6,0.005346757934953529,-0.0018252273930956689,-0.0016923939352867625,-0.006052339247458808,0.004440136329444756,Trajectory-2,0.0,117.0,0.0
Apoe,-0.007319591103189514,0.0036823032280277187,0.0006206209093642719,0.0037973912135152808,0.004872582736829869,Trajectory-1,28.0,0.0,0.0
Aqp1,-0.026871329967287205,-0.026748294475629382,0.0070503732122389915,-0.013362179252942901,-0.010480261185624343,Trajectory-1,99.0,0.0,0.0
Arap3,-0.016703631098446768,-0.004817357505131395,-0.003568328136849986,0.008014020912257709,0.010258219549241287,Trajectory-1,58.0,0.0,0.0
