dataset,method,mean,sd,n_seeds,vmin,vmax,n_panel,n_scored,boot_mean,ci_lo,ci_hi,boot_src
pancreas,PRISM_K5_StepII,0.8439071115961554,0.05663806118094997,10,0.7419586014704455,0.9288642033675805,15,15,0.8239525520548464,0.4941931938409041,0.9615591766861257,pooled-over-seeds B=5000
pancreas,GT_best_traj,0.3651483716701107,0.0,10,0.3651483716701107,0.3651483716701107,15,9,,,,none
pancreas,GeneTrajectory,0.6484696028389639,0.0036758536502561113,10,0.641495160910812,0.650213213321002,15,14,,,,none
pancreas,GeneTrajectory_EV,0.7759414381790154,0.0,10,0.7759414381790154,0.7759414381790154,15,15,0.7510334801560692,0.3469623193684892,0.9282056474187373,pooled-over-seeds B=5000
pancreas,DPT_weighted_mean,0.9118727850132956,0.0,10,0.9118727850132956,0.9118727850132956,15,15,0.8941906654683666,0.7407953794283704,0.966470865606374,carried-forward (seed-invariant)
pancreas,Expression_magnitude,0.31528520724062187,0.0,10,0.31528520724062187,0.31528520724062187,15,15,0.3455346661919067,0.0191206010275792,0.7654439957751126,carried-forward (seed-invariant)
gastrulation,PRISM_K5_StepII,0.7812167996510577,0.03925744211910657,10,0.7458142256487439,0.8685431488567652,11,11,0.7505101051378953,0.31670435430450616,0.9545757975514715,pooled-over-seeds B=5000
gastrulation,GT_best_traj,,,0,,,11,0,,,,none
gastrulation,GeneTrajectory,,,0,,,11,2,,,,none
gastrulation,GeneTrajectory_EV,0.9157465808598501,1.1702778228589004e-16,10,0.9157465808598502,0.9157465808598502,11,11,0.8924180645266084,0.6805908363044553,0.9804859290192954,pooled-over-seeds B=5000
gastrulation,DPT_weighted_mean,0.802458344052446,0.0,10,0.802458344052446,0.802458344052446,11,11,0.7880296921732285,0.320081223600858,0.9809506363438458,carried-forward (seed-invariant)
gastrulation,Expression_magnitude,0.35402574002313797,0.0,10,0.35402574002313797,0.35402574002313797,11,11,0.3938289256052116,0.0178727792772873,0.9110160584500394,carried-forward (seed-invariant)
gastrulation_erythroid,PRISM_K5_StepII,0.9302678924096821,0.011720180773462421,10,0.9265616458263766,0.9636241116594317,8,8,0.9014601172535933,0.6285393610547089,0.9936507294577401,pooled-over-seeds B=5000
gastrulation_erythroid,GT_best_traj,0.9295662872137866,0.031737073931774204,10,0.8660254037844387,0.9486832980505138,8,5,,,,none
gastrulation_erythroid,GeneTrajectory,0.9574470340205892,0.01953363462243731,10,0.9018533352710066,0.9636241116594317,8,8,0.9383714563786525,0.7844645405527362,1.0,pooled-over-seeds B=5000
gastrulation_erythroid,GeneTrajectory_EV,0.2223747949983304,2.925694557147251e-17,10,0.22237479499833038,0.22237479499833038,8,8,0.4574030843472651,0.08385254915624211,0.9622504486493761,pooled-over-seeds B=5000
gastrulation_erythroid,DPT_weighted_mean,0.9636241116594316,1.1702778228589004e-16,10,0.9636241116594317,0.9636241116594317,8,8,0.9441614241990024,0.7875615306482168,1.0,carried-forward (seed-invariant)
gastrulation_erythroid,Expression_magnitude,0.8647908694379515,0.0,10,0.8647908694379515,0.8647908694379515,8,8,0.8335968318303056,0.3424657534246575,0.9999999999999998,carried-forward (seed-invariant)
hemogenic_endothelium,PRISM_K5_StepII,0.9279295535236072,0.012977571689140458,10,0.901919832220969,0.9356014857063997,15,15,0.9124060347809761,0.7575446289567157,0.9740732415506076,pooled-over-seeds B=5000
hemogenic_endothelium,GT_best_traj,0.8859066548352728,0.013719366626819588,10,0.8660254037844386,0.8944271909999159,15,5,,,,none
hemogenic_endothelium,GeneTrajectory,0.3239052343515555,0.06844869677090903,10,0.18712029714127992,0.37236939131114705,15,15,0.3684717830859361,0.017282322170948168,0.7737726781632545,pooled-over-seeds B=5000
hemogenic_endothelium,GeneTrajectory_EV,0.9168894559922716,1.1702778228589004e-16,10,0.9168894559922717,0.9168894559922717,15,15,0.8995802586985147,0.7072672463996763,0.9724464889715236,pooled-over-seeds B=5000
hemogenic_endothelium,DPT_weighted_mean,0.7877764509647884,0.0,10,0.7877764509647884,0.7877764509647884,15,15,0.764667132661783,0.4575855529643403,0.927556864920132,carried-forward (seed-invariant)
hemogenic_endothelium,Expression_magnitude,0.7335115647938173,0.0,10,0.7335115647938173,0.7335115647938173,15,15,0.701698158004216,0.3911547848575216,0.8994026343690249,carried-forward (seed-invariant)
bonemarrow,PRISM_K5_StepII,0.9026226683985004,0.0038547017255991887,10,0.8953868724369076,0.9069055714819795,20,20,0.8859453386991522,0.7343033532260997,0.9594263050847883,pooled-over-seeds B=5000
bonemarrow,GT_best_traj,0.5952221642889766,0.027914526311954103,10,0.5778855963970647,0.6356741560367711,20,11,,,,none
bonemarrow,GeneTrajectory,0.23876653011270185,0.11927650972522176,10,0.1972695698532654,0.5778855963970647,20,12,,,,none
bonemarrow,GeneTrajectory_EV,0.8172898330313265,0.0055831163482846806,10,0.801400005339255,0.8190553694415565,20,20,0.7951688426959385,0.5938160065653239,0.9158969093436138,pooled-over-seeds B=5000
bonemarrow,DPT_weighted_mean,0.9188465578458699,1.1702778228589004e-16,10,0.91884655784587,0.91884655784587,20,20,0.903295591287188,0.7553294556714232,0.9688919844723772,carried-forward (seed-invariant)
bonemarrow,Expression_magnitude,0.05833946399021397,0.0,10,0.05833946399021397,0.05833946399021397,20,20,0.2079654781657816,0.0078435422614058,0.562679781237584,carried-forward (seed-invariant)
paul15,PRISM_K5_StepII,0.6844846552799879,0.04307523450984997,10,0.664052277510436,0.7662141663581955,8,8,0.6715639177223444,0.08504865111251246,0.9938079899999065,pooled-over-seeds B=5000
paul15,GT_best_traj,0.038310708317909774,0.0,10,0.038310708317909774,0.038310708317909774,8,8,,,,none
paul15,GeneTrajectory,0.038310708317909774,0.0,10,0.038310708317909774,0.038310708317909774,8,8,0.39277225739762867,0.013074409009212268,0.8770580193070293,pooled-over-seeds B=5000
paul15,GeneTrajectory_EV,0.14047259716566912,2.925694557147251e-17,10,0.14047259716566915,0.14047259716566915,8,8,0.42456268265547975,0.07502344849205331,0.8888888888888887,pooled-over-seeds B=5000
paul15,DPT_weighted_mean,,,0,,,8,0,,,,none
paul15,Expression_magnitude,0.25540472211939846,0.0,10,0.25540472211939846,0.25540472211939846,8,8,0.3960045991760182,0.0129250324984194,0.9905632682280447,carried-forward (seed-invariant)
dentategyrus,PRISM_K5_StepII,0.584807660688538,0.04325904563487001,10,0.5642880936468347,0.6668859288553501,5,5,0.6417102750642429,0.052631578947368425,1.0,pooled-over-seeds B=5000
dentategyrus,GT_best_traj,,,0,,,5,0,,,,none
dentategyrus,GeneTrajectory,0.737864787372622,1.1702778228589004e-16,10,0.7378647873726218,0.7378647873726218,5,4,,,,none
dentategyrus,GeneTrajectory_EV,0.9746794344808963,1.1702778228589004e-16,10,0.9746794344808964,0.9746794344808964,5,5,0.9654072274036475,0.7453559924999299,1.0,pooled-over-seeds B=5000
dentategyrus,DPT_weighted_mean,,,0,,,5,0,,,,none
dentategyrus,Expression_magnitude,0.6668859288553503,1.1702778228589004e-16,10,0.6668859288553501,0.6668859288553501,5,5,0.7178621017846912,0.108147614087175,1.0,carried-forward (seed-invariant)
endoderm_diff,PRISM_K5_StepII,0.7653780578436853,0.029880715233359847,10,0.7559289460184546,0.8504200642707614,7,7,0.7411047010720251,0.1640825308284734,0.9901475429766744,pooled-over-seeds B=5000
endoderm_diff,GT_best_traj,0.5773502691896258,1.1702778228589004e-16,10,0.5773502691896257,0.5773502691896257,7,5,,,,none
endoderm_diff,GeneTrajectory,0.47245559126153414,0.0,10,0.47245559126153414,0.47245559126153414,7,7,0.5370585045635009,0.06030226891555272,0.9354143466934853,pooled-over-seeds B=5000
endoderm_diff,GeneTrajectory_EV,0.7559289460184546,0.0,10,0.7559289460184546,0.7559289460184546,7,7,0.7349597367602967,0.16252721107440024,0.9901475429766744,pooled-over-seeds B=5000
endoderm_diff,DPT_weighted_mean,,,0,,,7,0,,,,none
endoderm_diff,Expression_magnitude,0.6614378277661477,1.1702778228589004e-16,10,0.6614378277661478,0.6614378277661478,7,7,0.6563796981268332,0.0626224291085149,0.9901475429766744,carried-forward (seed-invariant)
gastrulation_e75,PRISM_K5_StepII,0.3451905487026807,0.23756338644500702,10,0.025162995597942262,0.5490108130460131,14,14,0.38003541226239923,0.018774574618831814,0.737327071766127,pooled-over-seeds B=5000
gastrulation_e75,GT_best_traj,0.572588017853448,0.18233284457106053,10,0.37796447300922725,0.9258200997725515,14,8,,,,none
gastrulation_e75,GeneTrajectory,0.2738732886651074,0.060039391857152666,10,0.21977016016493986,0.42211588240886905,14,13,,,,none
gastrulation_e75,GeneTrajectory_EV,0.5526708851329866,0.01805084200976415,10,0.542148177882938,0.5993368042418975,14,14,0.5555912330662919,0.04978034339958255,0.9588956884232738,pooled-over-seeds B=5000
gastrulation_e75,DPT_weighted_mean,0.549010813046013,1.1702778228589004e-16,10,0.5490108130460131,0.5490108130460131,14,14,0.5494506938693449,0.0452799794683189,0.9532528075010268,carried-forward (seed-invariant)
gastrulation_e75,Expression_magnitude,0.253917501033781,0.0,10,0.253917501033781,0.253917501033781,14,14,0.3147708468881182,0.0160581140715944,0.7373973224320314,carried-forward (seed-invariant)
