dataset,group,PRISMo0_coh,PRISMo0_cov,PRISMo0_str,PRISMo0_n,PRISMo10_coh,PRISMo10_cov,PRISMo10_str,PRISMo10_n,MALLETo0_coh,MALLETo0_cov,MALLETo0_str,MALLETo0_n,MALLETo10_coh,MALLETo10_cov,MALLETo10_str,MALLETo10_n,NMF_coh,NMF_cov,NMF_str,NMF_n,cNMF_coh,cNMF_cov,cNMF_str,cNMF_n,scHPF_coh,scHPF_cov,scHPF_str,scHPF_n,ProdLDA_coh,ProdLDA_cov,ProdLDA_str,ProdLDA_n
breast_cancer,original,0.28,,,10,0.267,,,10,0.276,,,10,0.267,,,10,0.286,,,10,0.269,0.384,1.841,10,0.267,,,10,0.266,0.6,1.345,10
pbmc3k,original,0.361,0.904,4.686,10,0.325,0.954,6.887,10,0.364,0.908,4.605,10,0.328,0.957,7.118,10,0.293,0.944,4.58,10,0.35,0.813,4.042,7,0.32,0.935,5.087,10,0.25,0.899,2.887,10
zeisel_brain,original,0.502,0.681,1.83,10,0.502,0.674,1.893,10,0.527,0.685,1.852,10,0.529,0.726,1.897,10,0.579,0.663,1.862,10,0.542,0.509,2.13,10,0.532,0.712,1.898,10,0.455,0.89,1.458,10
hemogenic_endothelium,extension,0.618,0.938,6.325,10,0.656,0.974,7.787,10,0.615,0.9,6.307,10,0.657,0.972,7.76,10,0.564,0.935,5.839,10,0.375,0.724,2.016,10,0.626,0.95,6.95,10,0.336,0.913,3.053,10
pancreas,extension,0.355,0.713,4.693,10,0.322,0.758,4.679,10,0.341,0.701,4.356,10,0.299,0.75,4.4,10,0.343,0.682,4.572,10,0.491,0.494,1.72,10,0.296,0.76,4.185,10,0.015,0.762,1.387,10
gastrulation,extension,0.414,0.769,3.179,10,0.41,0.793,3.295,10,0.41,0.743,3.228,10,0.404,0.775,3.216,10,0.4,0.845,3.623,10,0.385,0.674,2.913,10,0.41,0.737,3.031,10,0.262,0.87,1.507,10
gastrulation_e75,extension,0.636,0.899,4.735,10,0.653,0.883,5.548,10,0.64,0.885,5.045,10,0.656,0.881,5.66,10,0.622,0.85,5.601,10,0.385,0.656,1.814,10,0.645,0.886,5.161,10,0.308,0.877,2.177,10
gastrulation_erythroid,extension,0.445,0.746,1.753,10,0.408,0.843,1.799,10,0.45,0.741,1.761,10,0.413,0.842,1.801,10,0.347,0.856,1.708,10,0.458,0.543,2.045,10,0.422,0.784,1.756,10,0.331,0.857,1.539,10
bonemarrow,extension,0.313,0.467,2.067,10,0.276,0.481,1.977,10,0.316,0.449,2.224,10,0.268,0.451,1.996,10,0.282,0.508,2.142,10,0.301,0.435,1.803,10,0.296,0.491,1.946,10,0.021,0.721,1.467,10
paul15,new,0.577,0.662,2.548,10,0.638,0.724,3.007,10,0.588,0.626,2.522,10,0.628,0.731,2.955,10,0.512,0.579,2.561,10,0.394,0.567,1.957,10,0.589,0.708,2.66,10,0.349,0.784,1.509,10
dentategyrus,new,0.36,0.71,3.612,10,0.349,0.74,3.572,10,0.358,0.688,3.527,10,0.349,0.72,3.649,10,0.373,0.826,5.408,10,0.429,0.679,1.676,10,0.34,0.735,3.275,10,0.263,0.801,1.666,10
pbmc68k,new,0.088,0.888,8.305,10,0.087,0.919,9.108,10,0.088,0.888,8.403,10,0.088,0.924,9.465,10,0.079,0.92,6.823,10,0.209,0.854,4.271,10,0.084,0.922,9.02,10,0.107,0.898,4.59,10
endoderm_diff,new,0.247,0.544,1.618,10,0.205,0.563,1.738,10,0.245,0.55,1.638,10,0.202,0.52,1.725,10,0.319,0.699,1.439,10,0.608,0.598,1.628,10,0.218,0.482,1.703,10,0.37,0.92,1.462,10
ventral_neuron_diff,new,0.14,0.765,1.779,10,0.127,0.715,1.702,10,0.132,0.739,1.743,10,0.126,0.689,1.677,10,0.18,0.729,1.503,10,0.4,0.945,2.317,10,0.126,0.719,1.618,10,0.282,0.944,1.505,10
mouse_hspc,new,0.199,0.535,1.87,10,0.189,0.564,1.758,10,0.2,0.564,1.947,10,0.19,0.574,1.814,10,0.233,0.302,3.456,10,0.374,0.555,2.355,10,0.193,0.569,1.79,10,0.249,0.903,1.583,10
